target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_14wj,dio_03uk,156,3160,0.992707,0.091417,zielnahe_mitrolle,mcm_kohaerenz,0.053412,btc:46;sonstige:40;doge:26;xrp:24;paxg:11;expansion:3;sideways:3;stress:3,0.224338,0.178625,-0.045712,0.0,0.0,0.0,0.040531,0.08802,0.047488,0.0,0.0,0.0,0.033544,0.04816,0.014616,0.606491,0.659903,0.053412,0.033544,0.04816,0.014616,6e-05,0.001039,0.000979,0.009824,0.010433,0.000609
dio_14wj,dio_0jqc,155,1536,0.940866,0.311263,hoeren_staerker,hoeren_stimulation,0.195745,btc:43;sonstige:31;paxg:25;doge:24;xrp:23;expansion:3;sideways:3;stress:3,0.223724,0.161967,-0.061757,0.0,0.0,0.0,0.038714,0.234459,0.195745,0.0,0.0,0.0,0.033101,0.11548,0.082379,0.605299,0.748724,0.143425,0.033101,0.11548,0.082379,0.000562,0.139057,0.138495,0.009802,0.011081,0.00128
dio_14wj,dio_1uof,155,3923,0.966911,0.164848,sehen_schaerfer,sehen_form_salience,0.138827,btc:46;doge:26;paxg:25;xrp:24;sonstige:24;expansion:3;sideways:3;stress:3;synth:1,0.226166,0.364992,0.138827,0.0,0.0,0.0,0.0408,0.039058,-0.001742,0.0,0.0,0.0,0.034225,0.040217,0.005992,0.604047,0.518514,-0.085533,0.034225,0.040217,0.005992,-0.001237,0.001068,0.002305,0.009718,0.008593,-0.001125
dio_14wj,dio_1q2r,154,834,0.887033,0.483287,asymmetrie_plus,mcm_asymmetrie,0.369571,btc:45;sonstige:29;doge:25;xrp:23;paxg:22;expansion:3;sideways:3;stress:3;synth:1,0.227625,0.351285,0.123659,0.0,0.0,0.0,0.039335,0.249396,0.210062,0.0,0.0,0.0,0.033293,0.122729,0.089436,0.606385,0.748157,0.141772,0.033293,0.122729,0.089436,-0.000389,0.369182,0.369571,0.0098,0.010408,0.000609
dio_14wj,dio_0xnz,153,835,0.969696,0.252972,asymmetrie_minus,mcm_asymmetrie,-0.147045,sonstige:43;btc:40;xrp:23;doge:23;paxg:15;expansion:3;sideways:3;stress:3,0.227515,0.340601,0.113087,0.0,0.0,0.0,0.038517,0.148143,0.109626,0.0,0.0,0.0,0.032661,0.080541,0.04788,0.609256,0.716869,0.107613,0.032661,0.080541,0.04788,-0.000448,-0.147493,-0.147045,0.009874,0.011277,0.001403
dio_14wj,dio_0m9z,153,21297,0.951638,0.228314,hoeren_staerker,hoeren_stimulation,0.194043,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.224215,0.24292,0.018705,0.0,0.0,0.0,0.040658,0.234701,0.194043,0.0,0.0,0.0,0.034305,0.115077,0.080772,0.602865,0.623558,0.020693,0.034305,0.115077,0.080772,-0.000584,-0.013357,-0.012772,0.009718,0.009729,1.1e-05
dio_14wj,dio_0v65,153,1844,0.94933,0.203991,sehen_schaerfer,sehen_form_salience,0.131231,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.226828,0.35806,0.131231,0.0,0.0,0.0,0.040537,0.040632,9.4e-05,0.0,0.0,0.0,0.034171,0.04369,0.009519,0.603756,0.504867,-0.098889,0.034171,0.04369,0.009519,-0.001294,0.115585,0.11688,0.009713,0.008167,-0.001546
dio_14wj,dio_00pl,153,1260,0.951369,0.201968,sehen_schaerfer,sehen_form_salience,0.124658,btc:46;doge:26;paxg:25;xrp:23;sonstige:23;expansion:3;sideways:3;stress:3;synth:1,0.226495,0.351153,0.124658,0.0,0.0,0.0,0.040748,0.077308,0.03656,0.0,0.0,0.0,0.034252,0.056987,0.022735,0.603741,0.518668,-0.085073,0.034252,0.056987,0.022735,-0.001317,0.120821,0.122138,0.009714,0.008303,-0.001411
dio_14wj,dio_02xf,153,3016,0.9661,0.16864,sehen_schaerfer,sehen_form_salience,0.139675,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.226208,0.365883,0.139675,0.0,0.0,0.0,0.041104,0.07836,0.037256,0.0,0.0,0.0,0.034377,0.056049,0.021672,0.603733,0.525643,-0.07809,0.034377,0.056049,0.021672,-0.00125,-7.2e-05,0.001177,0.009708,0.008662,-0.001046
dio_14wj,dio_0pxr,152,2244,0.939464,0.286173,hoeren_staerker,hoeren_stimulation,0.198717,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3,0.227316,0.356227,0.128911,0.0,0.0,0.0,0.040251,0.238968,0.198717,0.0,0.0,0.0,0.033999,0.118427,0.084428,0.603837,0.63289,0.029053,0.033999,0.118427,0.084428,-0.001029,0.083677,0.084707,0.009717,0.009607,-0.000111
dio_14wj,dio_1lsu,152,7472,0.937083,0.260337,hoeren_staerker,hoeren_stimulation,0.197925,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3,0.224814,0.24784,0.023027,0.0,0.0,0.0,0.040692,0.238617,0.197925,0.0,0.0,0.0,0.034204,0.117473,0.083269,0.60327,0.617262,0.013993,0.034204,0.117473,0.083269,-0.000452,0.115018,0.11547,0.009712,0.009479,-0.000233
dio_14wj,dio_0rgc,152,737,0.970742,0.187103,asymmetrie_minus,mcm_asymmetrie,-0.123533,btc:42;sonstige:38;xrp:22;doge:21;paxg:20;expansion:3;sideways:3;stress:3,0.226825,0.349258,0.122433,0.0,0.0,0.0,0.039371,0.083719,0.044348,0.0,0.0,0.0,0.033182,0.054379,0.021196,0.607642,0.62325,0.015609,0.033182,0.054379,0.021196,-0.0011,-0.124632,-0.123533,0.009831,0.01011,0.000279
dio_14wj,dio_0ssi,151,1257,0.945393,0.329998,hoeren_staerker,hoeren_stimulation,0.206051,btc:45;sonstige:28;doge:26;paxg:23;xrp:20;expansion:3;sideways:3;stress:3,0.227166,0.346402,0.119236,0.0,0.0,0.0,0.039739,0.24579,0.206051,0.0,0.0,0.0,0.033686,0.119713,0.086027,0.604869,0.719714,0.114845,0.033686,0.119713,0.086027,-0.00092,-0.151857,-0.150937,0.009761,0.011171,0.00141
