passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,event_id,world_group,world,run,family,event_pattern,event_score,pattern_marker,relative_pos,visual_label,tone_label,field_label,tick,timestamp_ms,symbol_family,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_auditory_listen_tendency,perception_visual_sharpness,perception_visual_distance_tendency,perception_raw_field_intake_pressure,perception_adapted_field_intake_pressure,mcm_feldwirkung_mcm_tension,mcm_rekopplung_quality,mcm_strain_quality
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,-1,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2290,1743933600000000,dio_155c,-0.283777,-0.183411,-0.199564,-0.241171,0.217039,0.764086,0.588706,0.411294,0.131014,0.112276,0.112276,0.716060,0.159053
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,tragende_verarbeitung,0,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,2291,1743937200000000,dio_00ly,-0.179645,0.127739,0.038130,0.229552,0.118527,0.833925,0.662880,0.337120,0.075495,0.066271,0.066271,0.755292,0.129171
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,1,wechselnde_form,geordnetes_hinhoeren,offen,2292,1743940800000000,dio_0l7p,-0.038419,-0.014379,-0.098288,-0.116329,0.105865,0.873520,0.713517,0.286483,0.062986,0.056022,0.056022,0.727616,0.140928
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,2,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,2293,1743944400000000,dio_17db,-0.180300,-0.183321,0.355576,0.271270,0.320167,0.712439,0.616282,0.383718,0.181756,0.154278,0.154278,0.686182,0.172176
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,3,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2294,1743948000000000,dio_104t,-0.097960,0.210895,-0.055534,-0.284108,0.151535,0.803137,0.652748,0.347252,0.088431,0.076959,0.076959,0.716577,0.157612
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,4,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,2295,1743951600000000,dio_155c,-0.227967,-0.028609,-0.235577,-0.241171,0.237927,0.767062,0.657751,0.342249,0.138188,0.119426,0.119426,0.719762,0.153262
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,5,wechselnde_form,geordnetes_hinhoeren,offen,2296,1743955200000000,dio_104t,-0.299413,-0.099549,-0.163768,0.070705,0.124682,0.856581,0.637131,0.362869,0.085399,0.075028,0.075028,0.729073,0.141619
1,0,0,0,0,0,0,4,zeit_1h,post_clean_asset_tf_paxg_2025_1h,dio_mini_lauf_2,dio_00ly,tragende_verarbeitung,0.55985,-,6,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,2297,1743958800000000,dio_1ewh,-0.213638,-0.290975,0.025443,0.268235,0.127416,0.808188,0.588361,0.411639,0.086004,0.074326,0.074326,0.710421,0.149885
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-6,stabile_scharfe_form,geordnetes_hinhoeren,rekoppelt,9900,1738659600000000,dio_04k7,0.510693,0.099784,-0.129828,0.030890,0.088274,0.912461,0.782247,0.217753,0.060927,0.054813,0.054813,0.721230,0.112255
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-5,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,9901,1738659900000000,dio_17db,0.291222,-0.141801,-0.315649,-0.319863,0.317419,0.715191,0.691366,0.308634,0.173881,0.148879,0.148879,0.694330,0.175478
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-4,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,9902,1738660200000000,dio_09bn,0.580598,-0.097727,-0.112549,0.169467,0.136454,0.857700,0.787115,0.212885,0.080732,0.072127,0.072127,0.733449,0.130021
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-3,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,9903,1738660500000000,dio_0nlj,0.506384,-0.131911,0.029420,0.149685,0.079931,0.890414,0.780681,0.219319,0.052031,0.046797,0.046797,0.740057,0.120632
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-2,stabile_scharfe_form,geordnetes_hinhoeren,rekoppelt,9904,1738660800000000,dio_0nlj,0.485469,0.220094,0.133677,0.047027,0.097284,0.908690,0.810147,0.189853,0.058802,0.053214,0.053214,0.750670,0.107219
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,-1,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,9905,1738661100000000,dio_155c,-0.099288,-0.266170,-0.200988,-0.374112,0.273700,0.707997,0.578912,0.421088,0.149959,0.126784,0.126784,0.706363,0.167252
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,tragende_verarbeitung,0,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,9906,1738661400000000,dio_00ly,-0.126514,0.021537,0.011299,0.268376,0.119272,0.830652,0.698224,0.301776,0.071048,0.062622,0.062622,0.737864,0.115941
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,1,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,9907,1738661700000000,dio_0l7p,-0.092839,-0.012834,-0.066709,-0.146971,0.100419,0.867761,0.701953,0.298047,0.060755,0.053904,0.053904,0.727215,0.137720
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,2,wechselnde_form,geordnetes_hinhoeren,rekoppelt,9908,1738662000000000,dio_0l7p,-0.193607,0.015226,-0.096139,-0.034368,0.070195,0.906852,0.693214,0.306786,0.050660,0.045288,0.045288,0.740836,0.120614
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,3,stabile_scharfe_form,geordnetes_hinhoeren,rekoppelt,9909,1738662300000000,dio_1fll,0.352354,0.006235,-0.024187,0.041158,0.031315,0.947153,0.828075,0.171925,0.022550,0.020642,0.020642,0.749370,0.101507
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,4,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,belastet_kippnah,9910,1738662600000000,dio_0sxm,0.182216,-0.418365,0.352831,0.349866,0.351586,0.680387,0.626139,0.373861,0.191645,0.161678,0.161678,0.677186,0.187748
1,0,0,0,0,0,0,5,feld_5m,post_clean_asset_tf_btc_2025_5m,dio_mini_lauf_1,dio_00ly,tragende_verarbeitung,0.559301,-,5,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,9911,1738662900000000,dio_1rqi,0.426708,-0.049868,-0.041373,-0.337087,0.165573,0.805757,0.787591,0.212409,0.093178,0.082589,0.082589,0.734324,0.114370
