world,transition,from_role,to_role,start_tick,previous_duration,current_duration,current_raw_field_intake,current_rekopplung,current_strain
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1648,42,1,0.0,0.704652,0.12551
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1649,1,1,0.0,0.66104,0.17062
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1650,1,1,0.0,0.702799,0.120953
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1651,1,9,0.0,0.6456174444444445,0.18477200000000002
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1660,9,1,0.0,0.597499,0.269687
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1661,1,13,0.0,0.6551851538461538,0.177221
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1674,13,1,0.0,0.704876,0.119737
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1675,1,17,0.0,0.6604104705882353,0.16599476470588237
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1692,17,1,0.0,0.576926,0.312113
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1693,1,26,0.0,0.6549406153846153,0.18052823076923077
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1719,26,1,0.0,0.593716,0.276437
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1720,1,42,0.0,0.6578182857142857,0.1715037619047619
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1762,42,1,0.0,0.607401,0.279152
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1763,1,6,0.0,0.646651,0.18543733333333334
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1769,6,1,0.0,0.707719,0.122565
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1770,1,10,0.0,0.6583871,0.16893560000000002
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1780,10,1,0.0,0.589015,0.319565
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1781,1,1,0.0,0.680139,0.186267
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1782,1,1,0.0,0.542369,0.367883
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1783,1,19,0.0,0.6405071052631579,0.19717847368421051
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1802,19,1,0.0,0.616535,0.251496
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1803,1,4,0.0,0.6389527500000001,0.19731275
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1807,4,1,0.0,0.565328,0.31845
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1808,1,5,0.0,0.6337102,0.221601
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1813,5,1,0.0,0.616591,0.255019
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1814,1,30,0.0,0.6501458,0.182134
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1844,30,1,0.0,0.708337,0.118336
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1845,1,32,0.0,0.65101253125,0.18147459375
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1877,32,1,0.0,0.55192,0.34659
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1878,1,8,0.0,0.64604675,0.204960375
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1886,8,1,0.0,0.568104,0.30988
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1887,1,13,0.0,0.6431391538461538,0.19436607692307695
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1900,13,1,0.0,0.605415,0.258193
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1901,1,29,0.0,0.6498596206896552,0.18567041379310345
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1930,29,1,0.0,0.588909,0.286068
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1931,1,16,0.0,0.650303,0.18812275
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1947,16,1,0.0,0.709326,0.117626
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1948,1,12,0.0,0.6586085833333334,0.17207583333333332
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1960,12,1,0.0,0.619069,0.259359
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1961,1,4,0.0,0.6551085,0.1816655
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1965,4,1,0.0,0.716437,0.117513
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1966,1,12,0.0,0.6575615,0.16981783333333333
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1978,12,1,0.0,0.560986,0.343478
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1979,1,14,0.0,0.6722995714285714,0.15099378571428573
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1993,14,1,0.0,0.722219,0.110698
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1994,1,9,0.0,0.669961,0.14855077777777778
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2003,9,1,0.0,0.714109,0.112559
