row_type,baseline_source,followup_source,asset_family_pairs,repro_states,followup_qualities,asset_repro_states,asset,family,appearances,dominant_attachment_quality,dominant_attachment_count,second_attachment_quality,second_attachment_count,attachment_quality_gap,attachment_profile_state,attachment_profile,mean_total_count,mean_field_edge_score,baseline_attachment_quality,baseline_attachment_profile,repro_state
asset_family_repro,,,,,,,BTC,dio_07uk,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,56.0,0.058542,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0jkk,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,51.0,0.021814,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0z9t,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,44.0,0.021814,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_10dv,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,41.0,0.058542,nullnah,nullnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_12fw,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,44.0,0.021814,offen_gemischt,offen_gemischt:1; nullnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,BTC,dio_17db,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,54.0,0.058542,offen_gemischt,offen_gemischt:1; kernnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,BTC,dio_1xrt,1,kernnah,1,-,0,1,einzelbeleg,kernnah:1,49.0,0.058542,neu_ohne_baseline,,neu_ohne_baseline
asset_family_repro,,,,,,,DOGE,dio_00ja,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,90.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_00ly,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,123.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_04uf,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,65.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_05yg,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,61.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_06er,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,62.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_06s7,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,98.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_07uk,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,52.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_09bn,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,64.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0dd2,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,61.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0g2r,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,72.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0h9h,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,176.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0jkk,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,49.5,-0.002442,kernnah,kernnah:2; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0l7p,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,269.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0m9z,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,265.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0nlj,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,53.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0obq,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,86.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0oc3,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,111.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0pz6,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,99.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0tay,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,63.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_104t,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,475.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_14wj,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,166.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_155c,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,327.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_169a,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,63.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_17ct,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,127.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_17db,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,52.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_19pg,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,57.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
