row_type,first,second,baseline_pairs,core_state_profile,asset_core_profile,quality_core_profile,asset,family,phase,baseline_dominant_phase_quality,core_state,first_repro_state,second_repro_state,first_followup_quality,second_followup_quality,first_observations,second_observations,first_mean_rekopplung_edge,second_mean_rekopplung_edge,first_mean_afterimage_edge,second_mean_afterimage_edge,first_mean_temporal_edge,second_mean_temporal_edge
core_intersection_detail,,,,,,,BTC,dio_0z9t,frueh,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,fehlt_im_folgefenster,phase_nullnah,fehlt,1,0,-0.01234915,0.0,-0.1962819,0.0,-0.17035905,0.0
core_intersection_detail,,,,,,,BTC,dio_0z9t,mitte,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nullnah,fehlt_im_folgefenster,phase_nullnah,fehlt,1,0,-0.003794579,0.0,-0.176288462,0.0,-0.069326393,0.0
core_intersection_detail,,,,,,,BTC,dio_0z9t,spaet,phase_nachhallnah_ohne_kern,kein_harter_kern,lokale_qualitaet_wird_offen,fehlt_im_folgefenster,phase_offen_gemischt,fehlt,1,0,-0.001881488,0.0,-0.043667393,0.0,-0.019835256,0.0
core_intersection_detail,,,,,,,BTC,dio_104t,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.006803038,-0.00391879,-0.012084532,-0.013595527,-0.006596567,-0.008020911
core_intersection_detail,,,,,,,BTC,dio_104t,mitte,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_reproduziert,phase_nachhallnah_ohne_kern,phase_nullnah,2,2,-0.002693586,-0.002586182,-0.000903939,-0.002665728,-7.7137e-05,-0.00067786
core_intersection_detail,,,,,,,BTC,dio_104t,spaet,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_wird_nullnah,phase_nachhallnah_ohne_kern,phase_nullnah,2,2,-0.002008444,-0.00289447,-0.005167471,-0.005587746,-0.001514049,-0.001829502
core_intersection_detail,,,,,,,BTC,dio_12fw,frueh,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nullnah,phase_ohne_nullfamilie,phase_nullnah,1,1,0.722124933,-0.002604643,0.439377067,-0.011882,0.7288072,-0.002458143
core_intersection_detail,,,,,,,BTC,dio_12fw,mitte,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_ohne_nullfamilie,phase_nachhallnah_ohne_kern,1,1,0.727033,-0.000404797,0.8109932,0.023360679,0.9097984,0.002379753
core_intersection_detail,,,,,,,BTC,dio_12fw,spaet,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_ohne_nullfamilie,phase_nachhallnah_ohne_kern,1,1,0.728785786,-0.001673624,0.876730286,0.016716536,0.938321429,0.006025886
core_intersection_detail,,,,,,,BTC,dio_1492,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,1,-0.005614715,-0.010633071,-0.061355331,-0.110977682,-0.034121573,-0.061720786
core_intersection_detail,,,,,,,BTC,dio_1492,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,1,-0.006181395,-0.005156801,-0.04070432,-0.084776304,-0.016666875,-0.029610735
core_intersection_detail,,,,,,,BTC,dio_1492,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,1,-0.006249515,-0.003458097,-0.021186732,-0.037395364,-0.010760663,-0.015798392
core_intersection_detail,,,,,,,BTC,dio_14wj,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.009116434,-0.004529377,-0.008704539,-0.00811773,-0.003375016,-0.003763394
core_intersection_detail,,,,,,,BTC,dio_14wj,mitte,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.002170326,-0.003134803,-0.008567832,-0.011473334,-0.001919261,-0.001563638
core_intersection_detail,,,,,,,BTC,dio_14wj,spaet,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.002864617,-0.003647432,-0.016783943,-0.021455294,-0.002907364,-0.004287631
core_intersection_detail,,,,,,,BTC,dio_155c,frueh,phase_nullnah,kein_harter_kern,lokale_qualitaet_wird_offen,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_offen_gemischt,2,2,-0.00586389,-0.005153533,-0.010730511,-0.00442266,-0.00366378,-0.002167928
core_intersection_detail,,,,,,,BTC,dio_155c,mitte,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_offen_gemischt,phase_nachhallnah_ohne_kern,2,2,-0.002292589,-0.003367079,-0.00950562,0.003734466,-0.002360714,0.00145236
core_intersection_detail,,,,,,,BTC,dio_155c,spaet,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_reproduziert,phase_nachhallnah_ohne_kern,phase_offen_gemischt,2,2,-0.001661393,-0.00182757,-0.002697003,-0.006929063,-0.000220872,-0.003425907
core_intersection_detail,,,,,,,BTC,dio_169a,frueh,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_kernnah,lokale_qualitaet_reproduziert,phase_kernnah,phase_offen_gemischt,2,2,0.002150749,0.360852391,0.066445419,0.291693112,0.034339997,0.407407953
core_intersection_detail,,,,,,,BTC,dio_169a,spaet,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_offen_gemischt,phase_nachhallnah_ohne_kern,2,2,-0.003449421,0.365945891,0.010014403,0.460695583,0.008919412,0.477591913
core_intersection_detail,,,,,,,BTC,dio_17ct,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,2,2,-0.003700067,-0.006917671,-0.019237527,-0.049633084,-0.012719654,-0.022866444
core_intersection_detail,,,,,,,BTC,dio_17ct,mitte,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_offen,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_nullnah,2,2,0.000745235,-0.005306184,-0.004784361,0.003890081,-0.001845606,-0.002335591
core_intersection_detail,,,,,,,BTC,dio_17db,frueh,phase_nullnah,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,1,1,-0.012638357,-0.005360535,-0.054259329,-0.134136232,-0.025046119,-0.069734759
core_intersection_detail,,,,,,,BTC,dio_17db,mitte,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nullnah,phase_offen_gemischt,phase_nullnah,1,1,0.002026803,-0.004660237,-0.003807091,-0.041358562,-0.000388864,-0.016001762
core_intersection_detail,,,,,,,BTC,dio_17db,spaet,phase_offen_gemischt,harter_kern_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_offen_gemischt,1,1,0.001802557,-0.003042984,-0.014811707,-0.045163155,-0.004051071,-0.01299281
core_intersection_detail,,,,,,,BTC,dio_19pg,frueh,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_offen,phase_nullnah,phase_offen_gemischt,2,2,-0.005882605,-0.004274514,-0.150708803,0.045175914,-0.076783148,0.021535736
core_intersection_detail,,,,,,,BTC,dio_19pg,mitte,phase_nullnah,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_offen,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_nullnah,2,2,-0.003267245,-0.002275341,-0.043291686,-0.009734381,-0.019802941,-0.001702134
core_intersection_detail,,,,,,,BTC,dio_19pg,spaet,phase_nullnah,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_nullnah,phase_nachhallnah_ohne_kern,2,2,-0.00193173,-0.002479913,0.001304031,0.018303478,-0.003541018,0.00316829
core_intersection_detail,,,,,,,BTC,dio_1cic,frueh,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,fehlt_im_folgefenster,phase_ohne_nullfamilie,fehlt,1,0,0.742935636,0.0,0.351094364,0.0,0.683852818,0.0
core_intersection_detail,,,,,,,BTC,dio_1cic,mitte,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,fehlt_im_folgefenster,phase_ohne_nullfamilie,fehlt,1,0,0.7531054,0.0,0.7562148,0.0,0.8922799,0.0
core_intersection_detail,,,,,,,BTC,dio_1cic,spaet,phase_ohne_nullfamilie,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,fehlt_im_folgefenster,phase_ohne_nullfamilie,fehlt,1,0,0.755564318,0.0,0.876049,0.0,0.937929455,0.0
core_intersection_detail,,,,,,,BTC,dio_1ewh,frueh,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nullnah,phase_offen_gemischt,phase_nullnah,2,2,-0.002943974,-0.004315396,0.018552492,-0.021873219,0.008894254,-0.010982218
core_intersection_detail,,,,,,,BTC,dio_1ewh,mitte,phase_offen_gemischt,nur_zweite_folge_reproduziert,lokale_qualitaet_wird_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_offen_gemischt,2,2,-0.002874763,-0.002493243,-0.001204713,-0.024496309,-0.000674652,-0.003800378
core_intersection_detail,,,,,,,BTC,dio_1ewh,spaet,phase_offen_gemischt,nur_erste_folge_reproduziert,lokale_qualitaet_reproduziert,lokale_qualitaet_wird_nachhallnah,phase_offen_gemischt,phase_nachhallnah_ohne_kern,2,2,-0.001794103,-0.000135214,-0.010482221,0.001789795,-0.001400321,0.003475089
core_intersection_detail,,,,,,,BTC,dio_1gp2,frueh,phase_nullnah,kein_harter_kern,lokale_qualitaet_wird_kernnah,lokale_qualitaet_wird_offen,phase_kernnah,phase_offen_gemischt,2,2,0.001486966,-0.004136781,0.02377012,0.018611712,0.018136759,0.008873308
core_intersection_detail,,,,,,,BTC,dio_1gp2,spaet,phase_offen_gemischt,kein_harter_kern,lokale_qualitaet_wird_nachhallnah,lokale_qualitaet_wird_nullnah,phase_nachhallnah_ohne_kern,phase_nullnah,2,2,-0.002978516,-0.001450915,0.017436105,-0.018434047,0.004390364,-0.001860654
