preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_019p01g,nebenrolle,10,9,0.444803,FOLLOW_EQ10K_XLM_2024_5M,0.2,FOLLOW_EQ10K_XLM_2024_5M:2;BTC_10K_A:1;BTC_STRESS_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XRP_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;REAL_FOLLOW_BTC_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;REAL_TIME_2024_XRP:1,other:3;xrp:3;btc:2;stress:1;sol:1,0.14213,0.075087,0.064539,0.615605,0.0,0.1,0.0,0.1,0.3,0.934978
dio_mcm_episode_1tlnw1j,nebenrolle,13,8,0.537094,FOLLOW_EQ10K_XLM_2024_5M,0.230769,FOLLOW_EQ10K_XLM_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:3;REAL_TIME_2024_BTC_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_EQ10K_PEPE_2024_5M:1;FOLLOW_EQ10K_PEPE_B_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;REAL_FOLLOW_SOL_6000:1,other:6;xrp:3;btc:2;paxg:1;sol:1,0.141438,0.035761,0.111566,0.608984,0.0,0.0,0.0,0.0,0.461538,0.856087
dio_mcm_episode_1fb1phy,nebenrolle,13,7,0.480217,QUIET_NEAR_PAXG2025_1H,0.230769,QUIET_NEAR_PAXG2025_1H:3;BTC_LONG_2024_5M_QUIET:2;DOGE_1H_B:2;FOLLOW_KAS_2024_5M_2000:2;SOL_10K_A:2;FOLLOW_EQ10K_TRX_2024_5M:1;REAL_FOLLOW_SOL_6000:1,quiet:5;other:3;sol:3;doge:2,0.14065,0.037566,0.093879,0.622469,0.384615,0.0,0.0,0.0,0.384615,0.961012
dio_mcm_episode_169719n,nebenrolle,9,9,0.654338,BTC_STRESS_2025_5M,0.111111,BTC_STRESS_2025_5M:1;DOGE_1H_B:1;FOLLOW_EQ10K_KAS_2024_5M:1;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_EQ10K_TRX_2024_5M:1;FOLLOW_EQ10K_XLM_2024_5M:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;REAL_TIME_2024_SOL_ALTSEQ_A:1,other:3;sol:2;stress:1;doge:1;paxg:1;xrp:1,0.140241,0.075721,0.068429,0.623041,0.0,0.111111,0.0,0.111111,0.333333,0.935945
dio_mcm_episode_01x8qw1,nebenrolle,14,7,0.668504,BTC_10K_A,0.285714,BTC_10K_A:4;FOLLOW_EQ10K_TRX_2024_5M:3;FOLLOW_EQ10K_XRP_2024_5M:2;SOL_10K_A:2;FOLLOW_EQ10K_DOGE_2024_5M:1;FOLLOW_EQ10K_KAS_2024_5M:1;FOLLOW_EQ10K_PEPE_B_2024_5M:1,other:5;btc:4;xrp:2;sol:2;doge:1,0.137899,0.036739,0.089692,0.617239,0.0,0.0,0.0,0.0,0.357143,0.913444
dio_mcm_episode_159zeqh,nebenrolle,15,6,0.853359,REAL_TIME_2024_SOL_ALTSEQ_A,0.266667,REAL_TIME_2024_SOL_ALTSEQ_A:4;PAXG_1846_A:3;REAL_FOLLOW_BTC_6000:3;REAL_FOLLOW_PAXG_6000:3;REAL_TIME_2024_BTC_5M:1;REAL_TIME_2024_PAXG:1,paxg:7;btc:4;sol:4,0.135198,0.036687,0.121605,0.627938,0.0,0.0,0.0,0.0,0.466667,0.965401
dio_mcm_episode_04jxate,nebenrolle,15,6,0.517496,DOGE_1H_A,0.2,DOGE_1H_A:3;QUIET_NEAR_PAXG2025_1H:3;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2024_BTC_5M:3;FOLLOW_EQ10K_PAXG_2024_5M:2;REAL_TIME_2023_SOL_ALTSEQ_A:1,doge:6;quiet:3;btc:3;paxg:2;sol:1,0.134123,0.034461,0.104232,0.627938,0.2,0.0,0.0,0.0,0.4,0.906827
dio_mcm_episode_1chjpo0,nebenrolle,15,6,0.823802,BTC_LONG_2025_5M_QUIET,0.2,BTC_LONG_2025_5M_QUIET:3;FOLLOW_EQ10K_PEPE_2024_5M:3;QUIET_NEAR_BTC_1869:3;REAL_FOLLOW_PAXG_6000:3;REAL_TIME_2024_BTC_5M:2;REAL_TIME_2024_SOL_ALTSEQ_A:1,quiet:6;other:3;paxg:3;btc:2;sol:1,0.134123,0.034461,0.104232,0.627938,0.4,0.0,0.0,0.0,0.4,0.906827
dio_mcm_episode_11d7ugg,nebenrolle,21,7,0.437235,FOLLOW_EQ10K_PEPE_B_2024_5M,0.285714,FOLLOW_EQ10K_PEPE_B_2024_5M:6;FOLLOW_EQ10K_TRX_2024_5M:4;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_EQ10K_KAS_2024_5M:3;FOLLOW_EQ10K_XLM_2024_5M:2;FOLLOW_EQ10K_XRP_2024_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:1,other:15;doge:3;xrp:2;paxg:1,0.133965,0.029696,0.206945,0.588625,0.0,0.0,0.0,0.0,0.714286,0.64001
dio_mcm_episode_13486kt,nebenrolle,18,7,0.469101,FOLLOW_EQ10K_DOGE_2024_5M,0.277778,FOLLOW_EQ10K_DOGE_2024_5M:5;FOLLOW_EQ10K_PEPE_2024_5M:3;FOLLOW_EQ10K_TRX_2024_5M:3;FOLLOW_EQ10K_XLM_2024_5M:3;FOLLOW_EQ10K_KAS_2024_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_EQ10K_XRP_2024_5M:1,other:11;doge:5;paxg:1;xrp:1,0.133297,0.031074,0.168089,0.599503,0.0,0.0,0.0,0.0,0.611111,0.705424
