dataset,finalization_index,incoming_relation_events,incoming_existing_relations,new_relations,active_relations,shared_relations,previous_maximum_pareto_depth,current_maximum_pareto_depth,moved_shallower,moved_deeper,unchanged_depth,depth_change_count,depth_change_share,absolute_depth_change_sum,mean_absolute_depth_change,future_event_reads,null_mean_depth_change_share,observed_minus_null_mean_depth_change_share
2092_holdout,41,45,38,7,1296,1289,52,55,23,1193,73,1216,0.943366951124903,3407,2.6431342125678823,0,0.6662761830876649,0.2770907680372381
2092_holdout,42,207,177,30,1326,1296,55,54,1188,31,77,1219,0.9405864197530864,1719,1.3263888888888888,0,0.8173379629629629,0.12324845679012353
2092_holdout,43,41,38,3,1329,1326,54,57,28,1274,24,1302,0.9819004524886877,3715,2.8016591251885368,0,0.8005203619909497,0.18138009049773807
2092_holdout,44,242,206,36,1365,1329,57,59,126,1130,73,1256,0.945071482317532,2534,1.906696764484575,0,0.7848607975921749,0.16021068472535716
2092_holdout,45,117,83,34,1399,1365,59,58,1280,13,72,1293,0.9472527472527472,1580,1.1575091575091576,0,0.7388717948717943,0.2083809523809529
2092_holdout,46,209,176,33,1432,1399,58,59,175,1082,142,1257,0.8984989278055754,1524,1.089349535382416,0,0.7246604717655468,0.17383845604002857
2092_holdout,47,235,208,27,1459,1432,59,59,227,107,1098,334,0.23324022346368714,785,0.5481843575418994,0,0.8239874301675981,-0.590747206703911
2092_holdout,48,186,180,6,1465,1459,59,63,26,1373,60,1399,0.9588759424263193,5207,3.568882796435915,0,0.8262234407128167,0.13265250171350262
2092_holdout,49,250,172,78,1543,1465,63,60,1362,24,79,1386,0.9460750853242321,4434,3.0266211604095563,0,0.746075085324232,0.20000000000000018
2092_holdout,50,221,190,31,1574,1543,60,62,122,1352,69,1474,0.9552819183408944,2965,1.9215813350615685,0,0.7949967595593,0.16028515878159433
2092_holdout,51,195,149,46,1620,1574,62,62,161,111,1302,272,0.17280813214739518,507,0.3221092757306226,0,0.7480241423125791,-0.5752160101651839
2092_holdout,52,101,87,14,1634,1620,62,62,76,117,1427,193,0.1191358024691358,295,0.18209876543209877,0,0.7710987654320988,-0.651962962962963
2092_holdout,53,144,87,57,1691,1634,62,65,29,1528,77,1557,0.9528763769889841,4391,2.6872705018359855,0,0.7485312117503058,0.2043451652386783
2092_holdout,54,241,215,26,1717,1691,65,66,147,1444,100,1591,0.9408633944411591,1935,1.1442933175635719,0,0.8052454169130691,0.13561797752809002
2092_holdout,55,158,114,44,1761,1717,66,66,101,82,1534,183,0.1065812463599301,425,0.24752475247524752,0,0.688462434478742,-0.581881188118812
2092_holdout,56,196,190,6,1767,1761,66,66,206,48,1507,254,0.14423622941510506,544,0.3089153889835321,0,0.869415105053946,-0.725178875638841
2092_holdout,57,190,160,30,1797,1767,66,64,1666,27,74,1693,0.9581211092246746,3594,2.033955857385399,0,0.7687606112054327,0.18936049801924193
2092_holdout,58,206,175,31,1828,1797,64,67,45,1645,107,1690,0.9404563160823595,4909,2.731775180856984,0,0.8453978853644963,0.09505843071786313
2092_holdout,59,209,176,33,1861,1828,67,64,1688,28,112,1716,0.9387308533916849,5397,2.952407002188184,0,0.7228336980306347,0.21589715536105025
2092_holdout,60,263,192,71,1932,1861,64,66,160,1589,112,1749,0.9398173025255239,3439,1.847931219774315,0,0.7082804943578721,0.23153680816765176
