asset,window_start,role_family,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
XRP,5000,rf_08,shuffle,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,6000,rf_08,shuffle,1.0,0.5,0.5,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.05241866666666667,0.0,0.05241866666666667,0.4120473333333334,0.0,0.4120473333333334,1
XRP,7000,rf_08,shuffle,0.5,1.0,-0.5,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.040412,0.0,0.040412,0.308797,0.0,0.308797,0
BTC,5000,rf_10,random_sign,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,6000,rf_10,random_sign,0.0,1.0,-1.0,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,7000,rf_10,random_sign,0.5,0.5,0.0,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.5,0.0,0.5,0.190696,0.0,0.190696,0.661916,0.0,0.661916,0
DOGE,5000,rf_10,random_sign,1.0,0.5,0.5,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DOGE,6000,rf_10,random_sign,0.0,0.5,-0.5,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,7000,rf_10,random_sign,0.5,0.5,0.0,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,5000,rf_10,random_sign,0.0,0.5,-0.5,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,0.098096,-0.098096,0.0,0.628077,-0.628077,0
PAXG,6000,rf_10,random_sign,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,7000,rf_10,random_sign,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,5000,rf_10,random_sign,0.5,0.0,0.5,0.001006036217303823,0.0,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOL,6000,rf_10,random_sign,0.5,0.5,0.0,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,7000,rf_10,random_sign,0.5,0.5,0.0,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,-0.046673,0.100187,-0.14686,-0.309764,0.629229,-0.938993,0
XRP,5000,rf_10,random_sign,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,-0.0492715,0.0,-0.0492715,-0.3150315,0.0,-0.3150315,0
XRP,6000,rf_10,random_sign,1.0,0.0,1.0,0.002012072434607646,0.0,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
XRP,7000,rf_10,random_sign,0.5,0.0,0.5,0.002012072434607646,0.0,0.002012072434607646,0.0,0.0,0.0,0.049343,0.0,0.049343,0.315241,0.0,0.315241,1
BTC,5000,rf_10,shuffle,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,6000,rf_10,shuffle,0.0,1.0,-1.0,0.0,0.004024144869215292,-0.004024144869215292,0.0,0.0,0.0,0.0,0.09436333333333334,-0.09436333333333334,0.0,0.4315366666666667,-0.4315366666666667,0
BTC,7000,rf_10,shuffle,0.5,1.0,-0.5,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.5,0.0,0.5,0.190696,0.10038949999999999,0.09030650000000001,0.661916,0.626683,0.03523299999999996,0
DOGE,5000,rf_10,shuffle,1.0,1.0,0.0,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.0,0.0,0.0,0.0,0.100162,-0.100162,0.0,0.6262075,-0.6262075,0
DOGE,6000,rf_10,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,7000,rf_10,shuffle,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,5000,rf_10,shuffle,0.0,1.0,-1.0,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,6000,rf_10,shuffle,0.5,0.5,0.0,0.002012072434607646,0.004024144869215292,-0.002012072434607646,0.0,0.5,-0.5,0.0,0.229905,-0.229905,0.0,0.6854825,-0.6854825,0
PAXG,7000,rf_10,shuffle,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,5000,rf_10,shuffle,0.5,0.0,0.5,0.001006036217303823,0.0,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOL,6000,rf_10,shuffle,0.5,0.5,0.0,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,7000,rf_10,shuffle,0.5,0.5,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.5,-0.5,-0.046673,0.188362,-0.235035,-0.309764,0.671084,-0.9808479999999999,0
XRP,5000,rf_10,shuffle,0.5,1.0,-0.5,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,-0.0492715,0.100122,-0.1493935,-0.3150315,0.624141,-0.9391725,0
XRP,6000,rf_10,shuffle,1.0,0.5,0.5,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_10,shuffle,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.049343,0.0,0.049343,0.315241,0.0,0.315241,0
BTC,5000,rf_13,random_sign,0.3333333333333333,1.0,-0.6666666666666667,0.001006036217303823,0.006036217303822937,-0.005030181086519115,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.144438,-0.144438,0.0,0.6483490000000001,-0.6483490000000001,0
BTC,6000,rf_13,random_sign,0.3333333333333333,1.0,-0.6666666666666667,0.001006036217303823,0.005030181086519115,-0.004024144869215292,0.0,0.0,0.0,0.0,-0.017599166666666666,0.017599166666666666,0.0,-0.10644366666666669,0.10644366666666669,0
BTC,7000,rf_13,random_sign,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0030181086519114686,0.002012072434607646,0.0010060362173038226,0.0,0.0,0.0,-0.0388125,0.0,-0.0388125,-0.3076385,0.0,-0.3076385,1
DOGE,5000,rf_13,random_sign,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DOGE,6000,rf_13,random_sign,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.0,0.0501905,-0.0501905,0.0,0.31127,-0.31127,0
DOGE,7000,rf_13,random_sign,0.3333333333333333,0.3333333333333333,0.0,0.005030181086519115,0.001006036217303823,0.004024144869215292,0.3333333333333333,0.0,0.3333333333333333,0.24850733333333333,0.0,0.24850733333333333,0.7002226666666665,0.0,0.7002226666666665,0
PAXG,5000,rf_13,random_sign,0.6666666666666666,0.6666666666666666,0.0,0.0030181086519114686,0.0030181086519114686,0.0,0.0,0.0,0.0,0.047034,0.100222,-0.053188000000000006,0.308831,0.618645,-0.309814,0
PAXG,6000,rf_13,random_sign,1.0,0.3333333333333333,0.6666666666666667,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.0481705,0.0,0.0481705,0.3136495,0.0,0.3136495,1
PAXG,7000,rf_13,random_sign,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0030181086519114686,0.001006036217303823,0.0020120724346076456,0.0,0.0,0.0,0.041348,0.0,0.041348,0.3115415,0.0,0.3115415,1
SOL,5000,rf_13,random_sign,0.6666666666666666,0.6666666666666666,0.0,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.187885,-0.187885,0.0,0.654768,-0.654768,0
SOL,6000,rf_13,random_sign,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.004024144869215292,0.001006036217303823,0.003018108651911469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOL,7000,rf_13,random_sign,0.6666666666666666,0.6666666666666666,0.0,0.002012072434607646,0.005030181086519115,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.143476,-0.143476,0.0,0.6410595,-0.6410595,0
XRP,5000,rf_13,random_sign,0.6666666666666666,0.6666666666666666,0.0,0.005030181086519115,0.0030181086519114686,0.002012072434607646,0.3333333333333333,0.0,0.3333333333333333,0.22089550000000002,0.049976,0.17091950000000003,0.39148299999999997,0.313497,0.07798599999999994,0
XRP,6000,rf_13,random_sign,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.001006036217303823,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_13,random_sign,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,5000,rf_13,shuffle,0.3333333333333333,0.3333333333333333,0.0,0.001006036217303823,0.002012072434607646,-0.001006036217303823,0.0,0.0,0.0,0.0,0.099826,-0.099826,0.0,0.625251,-0.625251,0
BTC,6000,rf_13,shuffle,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.05003,-0.05003,0.0,0.309232,-0.309232,0
BTC,7000,rf_13,shuffle,0.6666666666666666,0.6666666666666666,0.0,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.0,0.3333333333333333,-0.3333333333333333,-0.0388125,0.191033,-0.2298455,-0.3076385,0.663132,-0.9707705,0
DOGE,5000,rf_13,shuffle,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.190144,-0.190144,0.0,0.665246,-0.665246,0
DOGE,6000,rf_13,shuffle,0.3333333333333333,0.3333333333333333,0.0,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.100088,-0.100088,0.0,0.619156,-0.619156,0
DOGE,7000,rf_13,shuffle,0.3333333333333333,1.0,-0.6666666666666667,0.005030181086519115,0.004024144869215292,0.0010060362173038226,0.3333333333333333,0.0,0.3333333333333333,0.24850733333333333,0.0,0.24850733333333333,0.7002226666666665,0.0,0.7002226666666665,0
PAXG,5000,rf_13,shuffle,0.6666666666666666,1.0,-0.33333333333333337,0.0030181086519114686,0.006036217303822937,-0.0030181086519114686,0.0,0.3333333333333333,-0.3333333333333333,0.047034,0.19,-0.142966,0.308831,0.670503,-0.36167199999999994,0
PAXG,6000,rf_13,shuffle,1.0,0.6666666666666666,0.33333333333333337,0.004024144869215292,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0481705,0.0,0.0481705,0.3136495,0.0,0.3136495,1
PAXG,7000,rf_13,shuffle,0.6666666666666666,0.6666666666666666,0.0,0.0030181086519114686,0.004024144869215292,-0.0010060362173038235,0.0,0.0,0.0,0.041348,0.100092,-0.058744,0.3115415,0.623147,-0.3116055,0
SOL,5000,rf_13,shuffle,0.6666666666666666,0.6666666666666666,0.0,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,6000,rf_13,shuffle,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.004024144869215292,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOL,7000,rf_13,shuffle,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.002012072434607646,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.100056,-0.100056,0.0,0.629434,-0.629434,0
XRP,5000,rf_13,shuffle,0.6666666666666666,0.6666666666666666,0.0,0.005030181086519115,0.0030181086519114686,0.002012072434607646,0.3333333333333333,0.0,0.3333333333333333,0.22089550000000002,-0.023922666666666665,0.2448181666666667,0.39148299999999997,-0.20627166666666666,0.5977546666666667,0
XRP,6000,rf_13,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_13,shuffle,0.3333333333333333,1.0,-0.6666666666666667,0.001006036217303823,0.006036217303822937,-0.005030181086519115,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.09613266666666666,-0.09613266666666666,0.0,0.4306426666666667,-0.4306426666666667,0
BTC,5000,rf_17,random_sign,0.5,0.0,0.5,0.001006036217303823,0.0,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BTC,6000,rf_17,random_sign,0.0,1.0,-1.0,0.0,0.0030181086519114686,-0.0030181086519114686,0.0,0.0,0.0,0.0,0.099584,-0.099584,0.0,0.618185,-0.618185,0
BTC,7000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,5000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,6000,rf_17,random_sign,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,7000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAXG,5000,rf_17,random_sign,1.0,1.0,0.0,0.005030181086519115,0.002012072434607646,0.0030181086519114686,0.0,0.0,0.0,-0.05240974999999999,0.0,-0.05240974999999999,-0.32002825,0.0,-0.32002825,0
PAXG,6000,rf_17,random_sign,0.5,0.0,0.5,0.001006036217303823,0.0,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PAXG,7000,rf_17,random_sign,0.5,0.5,0.0,0.002012072434607646,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.09909,0.0,0.09909,0.629756,0.0,0.629756,0
SOL,5000,rf_17,random_sign,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,6000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,7000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,5000,rf_17,random_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,6000,rf_17,random_sign,0.0,0.5,-0.5,0.0,0.001006036217303823,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_17,random_sign,0.5,0.5,0.0,0.001006036217303823,0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BTC,5000,rf_17,shuffle,0.5,1.0,-0.5,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.099307,-0.099307,0.0,0.623825,-0.623825,0
BTC,6000,rf_17,shuffle,0.0,1.0,-1.0,0.0,0.004024144869215292,-0.004024144869215292,0.0,0.0,0.0,0.0,0.099251,-0.099251,0.0,0.626178,-0.626178,0
BTC,7000,rf_17,shuffle,0.0,0.5,-0.5,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,-0.0479665,0.0479665,0.0,-0.313359,0.313359,0
DOGE,5000,rf_17,shuffle,0.0,0.5,-0.5,0.0,0.002012072434607646,-0.002012072434607646,0.0,0.0,0.0,0.0,0.100214,-0.100214,0.0,0.624148,-0.624148,0
DOGE,6000,rf_17,shuffle,0.5,1.0,-0.5,0.001006036217303823,0.004024144869215292,-0.003018108651911469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DOGE,7000,rf_17,shuffle,0.0,1.0,-1.0,0.0,0.004024144869215292,-0.004024144869215292,0.0,0.0,0.0,0.0,0.14493450000000002,-0.14493450000000002,0.0,0.6441925,-0.6441925,0
PAXG,5000,rf_17,shuffle,1.0,1.0,0.0,0.005030181086519115,0.006036217303822937,-0.0010060362173038226,0.0,0.0,0.0,-0.05240974999999999,0.145214,-0.19762375,-0.32002825,0.644628,-0.96465625,0
PAXG,6000,rf_17,shuffle,0.5,0.5,0.0,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.1421135,-0.1421135,0.0,0.6384879999999999,-0.6384879999999999,0
PAXG,7000,rf_17,shuffle,0.5,1.0,-0.5,0.002012072434607646,0.0030181086519114686,-0.0010060362173038226,0.0,0.0,0.0,0.09909,0.0,0.09909,0.629756,0.0,0.629756,0
SOL,5000,rf_17,shuffle,0.5,1.0,-0.5,0.001006036217303823,0.0030181086519114686,-0.0020120724346076456,0.0,0.0,0.0,0.0,0.049521,-0.049521,0.0,0.3119,-0.3119,0
SOL,6000,rf_17,shuffle,0.0,0.5,-0.5,0.0,0.001006036217303823,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SOL,7000,rf_17,shuffle,0.0,1.0,-1.0,0.0,0.005030181086519115,-0.005030181086519115,0.0,0.0,0.0,0.0,-0.033023333333333335,0.033023333333333335,0.0,-0.20893766666666666,0.20893766666666666,0
XRP,5000,rf_17,shuffle,0.0,1.0,-1.0,0.0,0.005030181086519115,-0.005030181086519115,0.0,0.0,0.0,0.0,0.17761633333333335,-0.17761633333333335,0.0,0.6616373333333333,-0.6616373333333333,0
XRP,6000,rf_17,shuffle,0.0,0.5,-0.5,0.0,0.001006036217303823,-0.001006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XRP,7000,rf_17,shuffle,0.5,0.5,0.0,0.001006036217303823,0.004024144869215292,-0.003018108651911469,0.0,0.0,0.0,0.0,0.265004,-0.265004,0.0,0.701424,-0.701424,0
BTC,5000,rf_21,random_sign,1.0,0.5,0.5,0.006036217303822937,0.005030181086519115,0.0010060362173038226,0.0,0.0,0.0,0.10495333333333333,0.20977833333333334,-0.10482500000000002,0.04840100000000003,0.3881695,-0.3397685,1
BTC,6000,rf_21,random_sign,0.5,0.5,0.0,0.005030181086519115,0.0030181086519114686,0.002012072434607646,0.5,0.0,0.5,0.292053,0.13172050000000002,0.1603325,0.42431300000000005,0.6424605000000001,-0.21814750000000005,0
BTC,7000,rf_21,random_sign,1.0,1.0,0.0,0.008048289738430584,0.005030181086519115,0.0030181086519114695,0.0,0.5,-0.5,0.06738533333333332,0.267202,-0.19981666666666667,0.40781366666666674,0.696137,-0.28832333333333326,0
DOGE,5000,rf_21,random_sign,0.5,1.0,-0.5,0.005030181086519115,0.005030181086519115,0.0,0.0,0.0,0.0,0.0,0.09998,-0.09998,0.0,0.626661,-0.626661,0
DOGE,6000,rf_21,random_sign,1.0,1.0,0.0,0.0030181086519114686,0.006036217303822937,-0.0030181086519114686,0.0,0.5,-0.5,0.049933,0.26466166666666663,-0.21472866666666662,0.3133865,0.6960766666666668,-0.3826901666666668,0
DOGE,7000,rf_21,random_sign,1.0,1.0,0.0,0.011066398390342052,0.009054325955734407,0.002012072434607645,0.0,0.5,-0.5,0.386566,0.422334,-0.035767999999999966,0.7478890000000001,0.767315,-0.019425999999999832,0
PAXG,5000,rf_21,random_sign,1.0,1.0,0.0,0.008048289738430584,0.007042253521126761,0.0010060362173038235,0.5,0.5,0.0,0.213918,0.2363636666666667,-0.022445666666666697,0.4912736666666667,0.492324,-0.0010503333333332643,0
PAXG,6000,rf_21,random_sign,1.0,1.0,0.0,0.008048289738430584,0.009054325955734407,-0.0010060362173038226,0.0,0.0,0.0,0.26998875,0.16904299999999997,0.10094575000000003,0.704079,0.3726725000000001,0.33140649999999994,0
PAXG,7000,rf_21,random_sign,1.0,1.0,0.0,0.004024144869215292,0.006036217303822937,-0.002012072434607645,0.0,0.0,0.0,0.07790433333333334,0.157951,-0.08004666666666667,0.4260186666666666,0.6500079999999999,-0.22398933333333332,0
SOL,5000,rf_21,random_sign,1.0,1.0,0.0,0.011066398390342052,0.007042253521126761,0.004024144869215291,1.0,0.0,1.0,0.28604640000000003,0.23631200000000002,0.04973440000000001,0.35542319999999994,0.2972443333333333,0.05817886666666666,0
SOL,6000,rf_21,random_sign,1.0,1.0,0.0,0.011066398390342052,0.009054325955734407,0.002012072434607645,0.5,0.5,0.0,0.2732175,0.44131600000000004,-0.16809850000000004,0.41591725,0.774925,-0.35900774999999996,0
SOL,7000,rf_21,random_sign,0.5,1.0,-0.5,0.004024144869215292,0.008048289738430584,-0.004024144869215292,0.5,0.5,0.0,0.269547,0.37353216666666667,-0.10398516666666668,0.702483,0.5587223333333333,0.14376066666666665,0
XRP,5000,rf_21,random_sign,1.0,1.0,0.0,0.007042253521126761,0.008048289738430584,-0.0010060362173038235,0.0,0.5,-0.5,-0.10317033333333332,0.13094850000000002,-0.23411883333333333,-0.433231,-0.04224933333333325,-0.3909816666666667,0
XRP,6000,rf_21,random_sign,1.0,0.5,0.5,0.008048289738430584,0.0030181086519114686,0.0050301810865191155,0.5,0.0,0.5,0.34372366666666665,0.1406745,0.20304916666666664,0.4396073333333334,0.3543115,0.0852958333333334,1
XRP,7000,rf_21,random_sign,1.0,0.5,0.5,0.008048289738430584,0.009054325955734407,-0.0010060362173038226,0.5,0.0,0.5,0.3411726666666667,0.48541599999999996,-0.14424333333333328,0.4414758333333334,0.793369,-0.3518931666666666,0
BTC,5000,rf_21,shuffle,1.0,1.0,0.0,0.006036217303822937,0.013078470824949699,-0.007042253521126762,0.0,1.0,-1.0,0.10495333333333333,0.37769220000000003,-0.2727388666666667,0.04840100000000003,0.5537324,-0.5053314,0
BTC,6000,rf_21,shuffle,0.5,1.0,-0.5,0.005030181086519115,0.009054325955734407,-0.004024144869215292,0.5,0.5,0.0,0.292053,0.11819625,0.17385675,0.42431300000000005,-0.09912725,0.52344025,0
BTC,7000,rf_21,shuffle,1.0,1.0,0.0,0.008048289738430584,0.002012072434607646,0.006036217303822938,0.0,0.0,0.0,0.06738533333333332,0.0,0.06738533333333332,0.40781366666666674,0.0,0.40781366666666674,0
DOGE,5000,rf_21,shuffle,0.5,1.0,-0.5,0.005030181086519115,0.009054325955734407,-0.004024144869215292,0.0,0.5,-0.5,0.0,0.26268199999999997,-0.26268199999999997,0.0,0.7002172499999999,-0.7002172499999999,0
DOGE,6000,rf_21,shuffle,1.0,1.0,0.0,0.0030181086519114686,0.005030181086519115,-0.002012072434607646,0.0,0.5,-0.5,0.049933,0.215141,-0.165208,0.3133865,0.391518,-0.07813149999999996,0
DOGE,7000,rf_21,shuffle,1.0,1.0,0.0,0.011066398390342052,0.006036217303822937,0.005030181086519115,0.0,0.0,0.0,0.386566,0.1298364,0.2567296,0.7478890000000001,0.5245070000000001,0.22338200000000008,0
PAXG,5000,rf_21,shuffle,1.0,1.0,0.0,0.008048289738430584,0.012072434607645875,-0.00402414486921529,0.5,1.0,-0.5,0.213918,0.39356250000000004,-0.17964450000000004,0.4912736666666667,0.7541185,-0.2628448333333333,0
PAXG,6000,rf_21,shuffle,1.0,0.5,0.5,0.008048289738430584,0.001006036217303823,0.007042253521126762,0.0,0.0,0.0,0.26998875,0.0,0.26998875,0.704079,0.0,0.704079,1
PAXG,7000,rf_21,shuffle,1.0,1.0,0.0,0.004024144869215292,0.008048289738430584,-0.004024144869215292,0.0,0.5,-0.5,0.07790433333333334,0.21593974999999999,-0.13803541666666663,0.4260186666666666,0.6823902500000001,-0.2563715833333335,0
SOL,5000,rf_21,shuffle,1.0,1.0,0.0,0.011066398390342052,0.012072434607645875,-0.0010060362173038226,1.0,1.0,0.0,0.28604640000000003,0.3434411666666667,-0.05739476666666665,0.35542319999999994,0.5416665833333333,-0.18624338333333335,0
SOL,6000,rf_21,shuffle,1.0,0.5,0.5,0.011066398390342052,0.008048289738430584,0.0030181086519114678,0.5,0.5,0.0,0.2732175,0.38952300000000006,-0.11630550000000006,0.41591725,0.46347016666666674,-0.04755291666666672,1
SOL,7000,rf_21,shuffle,0.5,1.0,-0.5,0.004024144869215292,0.007042253521126761,-0.0030181086519114686,0.5,0.5,0.0,0.269547,0.2197565,0.04979049999999999,0.702483,0.6780345000000001,0.024448499999999873,0
XRP,5000,rf_21,shuffle,1.0,1.0,0.0,0.007042253521126761,0.012072434607645875,-0.005030181086519114,0.0,1.0,-1.0,-0.10317033333333332,0.33462575,-0.4377960833333333,-0.433231,0.437713,-0.8709439999999999,0
XRP,6000,rf_21,shuffle,1.0,1.0,0.0,0.008048289738430584,0.006036217303822937,0.002012072434607647,0.5,0.0,0.5,0.34372366666666665,-0.045242,0.38896566666666665,0.4396073333333334,-0.313935,0.7535423333333334,0
XRP,7000,rf_21,shuffle,1.0,1.0,0.0,0.008048289738430584,0.009054325955734407,-0.0010060362173038226,0.5,0.5,0.0,0.3411726666666667,0.2345239166666667,0.10664874999999999,0.4414758333333334,0.4954984166666667,-0.05402258333333332,0
