group,role_family,component,primary_axis,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
timeframe:1h,rf_06,wick,0,abgeschwaecht,0,100,0.5210120305799294,1.345,-0.055853707397746144,0.03719670802912682,0.0,-0.0004471272076905881,0.0011826514643416052,0.0,-0.02777777777777779,0.0804861111111111,0.0
timeframe:1h,rf_06,volume,0,abgeschwaecht,0,100,0.5210120305799294,1.345,-0.07688192111484382,0.019445265579481726,0.0,-0.0005589090096132353,0.0016090990386765035,0.0,-0.05555555555555558,0.04770833333333334,0.0
timeframe:1h,rf_07,sign,0,gemischt,41,100,2.3539725387434105,0.31767719897523483,-0.018494623655914033,-0.009511498556980944,0.49,-0.006874580818242788,-0.0007612340710932263,0.0,0.0,-0.013333333333333327,0.59
timeframe:1h,rf_07,magnitude,0,gemischt,44,100,2.3539725387434105,0.31767719897523483,-0.0023041474654378336,0.026019953646702447,0.31,-0.006427453610552202,-0.00022412251285490743,0.0,0.0,0.028333333333333332,0.39
timeframe:1h,rf_07,wick,0,gemischt,52,100,2.3539725387434105,0.31767719897523483,-0.004142771804062195,0.007984219648058427,0.53,-0.0018443997317236713,0.0005678515537670465,0.0,0.0,0.012500000000000008,0.495
timeframe:1h,rf_07,volume,0,gemischt,42,100,2.3539725387434105,0.31767719897523483,-0.007152991567394018,-0.01771941122534538,0.57,0.0009501453163425037,0.000749496981891348,0.55,0.0,-0.018055555555555547,0.605
timeframe:1h,rf_08,sign,1,verstaerkt,24,100,0.501292711736154,1.0260586319218241,0.014826007326007362,-0.024170509589673417,0.67,0.00011178180192264681,-0.0002531857813547955,0.74,0.02777777777777779,-0.04138888888888889,0.705
timeframe:1h,rf_08,magnitude,0,gemischt,24,100,0.501292711736154,1.0260586319218241,0.02236943164362526,0.03658541906043183,0.46,-5.589090096132362e-05,0.00023530069304717187,0.395,0.02777777777777779,0.034444444444444444,0.505
timeframe:1h,rf_08,wick,0,gemischt,26,100,0.501292711736154,1.0260586319218241,0.004761904761904745,0.012673772658677205,0.49,0.0002794545048066177,0.00011345852895148664,0.78,0.0,0.00861111111111111,0.515
timeframe:1h,rf_08,volume,0,verstaerkt,29,100,0.501292711736154,1.0260586319218241,0.07493734335839619,-0.03687307885123672,0.76,0.0007265817124972053,0.00025486250838363506,0.85,0.11111111111111105,-0.036944444444444446,0.83
timeframe:1h,rf_10,sign,1,abgeschwaecht,52,100,0.523890102114776,0.9022988505747126,-0.03846153846153849,-0.03643553450827729,0.59,-0.0006147999105745586,-0.00014699306952828089,0.17,-0.05555555555555558,-0.03916666666666666,0.45
timeframe:1h,rf_10,magnitude,1,abgeschwaecht,33,100,0.523890102114776,0.9022988505747126,-0.05535714285714288,0.023047839345421872,0.22,-0.0005589090096132351,0.00020959087860496299,0.11,-0.08333333333333337,0.02916666666666666,0.17
timeframe:1h,rf_10,wick,0,abgeschwaecht,37,100,0.523890102114776,0.9022988505747126,-0.038970588235294146,0.0010999766879633693,0.39,-0.0003912363067292646,0.00033031522468142177,0.24,-0.02777777777777779,0.0072222222222222245,0.435
timeframe:1h,rf_10,volume,0,gemischt,38,100,0.523890102114776,0.9022988505747126,-0.05416666666666675,-0.0040258780023206524,0.35,0.0,0.0007148446232953274,0.195,-0.02777777777777779,0.006944444444444444,0.475
timeframe:1h,rf_13,sign,0,verstaerkt,24,100,0.14455981408974777,1.0034562211981566,0.059976851851851753,-0.02043942618558456,0.87,0.0010060362173038228,-0.0003811759445562263,0.985,0.09259259259259256,-0.023333333333333317,0.88
timeframe:1h,rf_13,magnitude,0,gemischt,17,100,0.14455981408974777,1.0034562211981566,-0.05211382113821145,0.0176055208521234,0.28,0.0006147999105745583,0.0002291526939414263,0.68,0.0,0.036296296296296306,0.425
timeframe:1h,rf_13,wick,0,verstaerkt,40,100,0.14455981408974777,1.0034562211981566,0.0670370370370369,0.01714212590317564,0.69,0.0008942544153811756,0.0002353006930471719,0.7,0.07407407407407407,0.03500000000000001,0.65
timeframe:1h,rf_13,volume,0,verstaerkt,39,100,0.14455981408974777,1.0034562211981566,0.11310185185185184,0.0061847712034425965,0.94,0.0010060362173038232,0.0006276548177956628,0.7,0.14814814814814814,0.017037037037037045,0.915
