dataset,universe_scope,source_key_posthoc,paths,observed_synchrony_excess,collective_null_excess_mean,observed_minus_collective_null_mean,direction,empirical_upper_p
2092_holdout,b,2092_holdout|XRP|2025|9000,8,87.30916415,67.028386204,20.280777946,positive,0.060606
2092_holdout,all,2092_holdout|DOGE|2024|0,16,183.527693856,135.847148792,47.680545064,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2024|1000,16,181.286002015,133.460190081,47.825811934,positive,0.060606
2092_holdout,all,2092_holdout|DOGE|2024|2000,16,183.13897281,135.314482628,47.824490182,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2024|3000,16,183.581067473,133.720543807,49.860523666,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2024|4000,16,183.314199395,140.039998741,43.274200654,positive,0.060606
2092_holdout,all,2092_holdout|DOGE|2024|6000,16,185.276938573,136.640798087,48.636140486,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2024|7000,16,181.274924472,137.37723439,43.897690082,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2024|8000,16,184.703927493,134.869964753,49.83396274,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|1000,16,187.237663645,141.597589376,45.640074269,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|3000,16,182.004028196,136.824521652,45.179506544,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|4000,16,184.963746223,133.649011833,51.31473439,positive,0.060606
2092_holdout,all,2092_holdout|DOGE|2025|5000,16,184.528700906,137.151529456,47.37717145,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|6000,16,184.684793555,136.42988419,48.254909365,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|7000,16,183.904330312,132.163928751,51.740401561,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|8000,16,182.220543806,137.122325025,45.098218781,positive,0.030303
2092_holdout,all,2092_holdout|DOGE|2025|9000,16,181.274924472,137.642088368,43.632836104,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|0,16,186.058408861,138.678310675,47.380098186,positive,0.060606
2092_holdout,all,2092_holdout|PAXG|2024|2000,16,180.739174221,133.022280967,47.716893254,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|3000,16,186.620342398,132.997041792,53.623300606,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|4000,16,182.004028196,133.563884693,48.440143503,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|5000,16,183.548841893,139.584623615,43.964218278,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|6000,16,187.01409869,139.224886707,47.789211983,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|7000,16,192.249748238,135.978128147,56.271620091,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|8000,16,184.778449144,139.068101712,45.710347432,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2024|9000,16,183.757301107,136.44829431,47.309006797,positive,0.030303
2092_holdout,all,2092_holdout|PAXG|2025|1000,16,184.088620343,133.711417422,50.377202921,positive,0.030303
