preview_symbol,target_group,chain,world,run,tick,window_start_tick,window_end_tick,window_label,raw_direction,raw_net_pct,raw_range_pct,raw_avg_body_pct,raw_direction_changes,sehen_form_stability,sehen_form_change,sehen_form_flow,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_visual_sharpness,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_field_phase_signature_depth,mcm_field_phase_signature_drift
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1319,1271,1318,weite_unruhige_seitwaerts,seitwaerts,0.13817342807359148,2.0424715345106637,0.21513087753183135,24.0,0.135213,-0.743829,-0.733018,0.768097,0.463401,0.640124,0.535387,0.370806,0.275166,0.58537,0.592056,0.041669
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1361,1313,1360,weite_unruhige_steigend,steigend,0.23925407537750326,3.2135621195539468,0.2733159096341525,28.0,0.145329,-0.788672,-0.584256,0.697031,0.647365,0.676171,0.49175,0.360578,0.290317,0.573513,0.581504,0.016559
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1614,1566,1613,weite_unruhige_fallend,fallend,-0.9153326113800286,2.7313034359212365,0.18088065280732935,25.0,0.085095,-0.629507,0.618577,-0.241401,-0.385007,0.301715,0.393442,0.38694,0.255151,0.592218,0.555553,0.022609
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1723,1675,1722,weite_unruhige_steigend,steigend,1.1303073445000456,2.369871881849669,0.19662933515687345,23.0,0.217632,-0.998356,-0.937356,0.882342,0.45321,0.702107,0.478614,0.366315,0.286375,0.576951,0.595848,0.045066
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1726,1678,1725,weite_unruhige_fallend,fallend,-1.7738986947222293,5.173989250468503,0.25605342789029223,23.0,0.998004,0.95033,-0.996929,-0.419939,-0.144094,0.304084,0.42339,0.403188,0.24323,0.606912,0.582451,0.090653
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1727,1679,1726,weite_unruhige_fallend,fallend,-2.225534388198783,5.284703357567226,0.2616339330655388,23.0,0.990406,-0.866592,-0.98524,-0.034486,0.321891,0.155196,0.752108,0.451146,0.148703,0.674567,0.588808,0.12541
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1728,1680,1727,weite_unruhige_fallend,fallend,-2.31948531751327,5.279854617887681,0.2595534956813305,22.0,0.876492,0.724874,-0.908089,-0.38264,-0.446167,0.409321,0.485996,0.409735,0.235117,0.617684,0.593708,0.087477
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,1872,1824,1871,weite_unruhige_steigend,steigend,1.1633829467636074,1.9008216690876532,0.13225323817130297,25.0,0.256652,-0.53843,-0.543029,0.801154,0.602956,0.717911,0.605488,0.352986,0.295129,0.572411,0.5865,0.020707
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,2046,1998,2045,weite_unruhige_fallend,fallend,-0.6346091407178343,1.9383740279725885,0.1391644932633353,20.0,0.353287,-0.506777,-0.454162,0.656785,0.704904,0.676995,0.633505,0.359879,0.286162,0.576487,0.59123,0.020596
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,2485,2437,2484,weite_unruhige_fallend,fallend,-1.588414610424753,2.4737620049452187,0.14662608372533392,21.0,0.695841,-0.526068,-0.532062,0.848961,0.64076,0.761517,0.708404,0.35321,0.297452,0.569778,0.599424,0.022395
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,2552,2504,2551,weite_unruhige_fallend,fallend,-0.2464123502126078,1.5904764205643647,0.1746830104045858,24.0,0.882566,-0.72461,-0.819332,0.792833,0.588332,0.706942,0.697921,0.368368,0.280077,0.585444,0.602983,0.028817
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,2595,2547,2594,weite_unruhige_fallend,fallend,-2.405497454514374,3.7245519144856494,0.2392843751899558,21.0,0.84183,-0.6273,0.843204,-0.383292,-0.344728,0.367095,0.532155,0.388222,0.261014,0.596024,0.564834,0.027238
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,3148,3100,3147,weite_unruhige_fallend,fallend,-0.23967804892446512,1.2364349506912506,0.10343691907387635,25.0,0.084165,-0.545257,-0.29453,0.709034,0.684051,0.698541,0.525397,0.404071,0.270675,0.59993,0.596352,0.024909
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,3310,3262,3309,weite_unruhige_steigend,steigend,1.0542675604918863,1.4432146176846217,0.1243190365009458,22.0,0.866336,0.662528,0.794363,0.896452,0.614795,0.778156,0.694442,0.367654,0.294723,0.580625,0.605149,0.133812
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_17K_34K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_2,3900,3852,3899,weite_unruhige_steigend,steigend,1.187600176823886,1.3635534829371803,0.08148662164815568,20.0,-0.31935,-0.599638,-0.105701,0.560337,0.550929,0.556386,0.393647,0.370661,0.2722,0.588827,0.556924,0.030195
