preview_symbol,count,world_count,phase_quality_state,origin_quality,dominant_world_binding,dominant_field_function,dominant_field_variant,phase_quality_depth,positive_phase_affinity,avg_phase_drift,max_phase_drift,real_count,null_count,synthetic_count,unknown_count,mixed_binding_count,real_share,null_share,synthetic_share,unknown_share,mixed_binding_share,avg_carry,avg_strain,avg_rekopplung,avg_sensory,avg_visual_gap,avg_hearing_gap,worlds,world_bindings
dio_mcm_episode_0imu3z8,41,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.811484,0.742488,0.03464,0.082141,41,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.570353,0.188481,0.704021,0.808781,0.272067,0.094683,FPSIG_LONG_REAL_BTC_34K_51K:10;FPSIG_LONG_REAL_BTC_0_17K:8;FPSIG_LONG_REAL_SOL_0_17K:8;FPSIG_LONG_REAL_BTC_17K_34K:7;FPSIG_LONG_REAL_SOL_34K_51K:5;FPSIG_LONG_REAL_SOL_17K_34K:3,realworld_bound:41
dio_mcm_episode_01h2hhh,35,6,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.808077,0.779264,0.050173,0.151113,35,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.584082,0.156988,0.726563,0.874133,0.103392,0.088632,FPSIG_LONG_REAL_BTC_0_17K:9;FPSIG_LONG_REAL_BTC_34K_51K:9;FPSIG_LONG_REAL_BTC_17K_34K:8;FPSIG_LONG_REAL_SOL_34K_51K:5;FPSIG_LONG_REAL_SOL_0_17K:3;FPSIG_LONG_REAL_SOL_17K_34K:1,realworld_bound:35
dio_mcm_episode_0v9h8bc,38,6,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.807393,0.756017,0.049049,0.126152,38,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.574851,0.176302,0.711484,0.82813,0.235275,0.081764,FPSIG_LONG_REAL_BTC_17K_34K:10;FPSIG_LONG_REAL_BTC_34K_51K:9;FPSIG_LONG_REAL_SOL_0_17K:6;FPSIG_LONG_REAL_SOL_17K_34K:6;FPSIG_LONG_REAL_SOL_34K_51K:4;FPSIG_LONG_REAL_BTC_0_17K:3,realworld_bound:38
dio_mcm_episode_0izppf1,127,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.805931,0.727082,0.062436,0.17139,127,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.52692,0.185502,0.684305,0.792739,0.32751,0.085465,FPSIG_LONG_REAL_SOL_0_17K:31;FPSIG_LONG_REAL_BTC_0_17K:25;FPSIG_LONG_REAL_SOL_17K_34K:22;FPSIG_LONG_REAL_BTC_17K_34K:20;FPSIG_LONG_REAL_SOL_34K_51K:16;FPSIG_LONG_REAL_BTC_34K_51K:13,realworld_bound:127
dio_mcm_episode_0hlxzy4,97,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.804978,0.732406,0.064506,0.190824,97,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.529598,0.186243,0.689771,0.825915,0.168218,0.156599,FPSIG_LONG_REAL_SOL_0_17K:27;FPSIG_LONG_REAL_SOL_17K_34K:24;FPSIG_LONG_REAL_BTC_34K_51K:15;FPSIG_LONG_REAL_SOL_34K_51K:14;FPSIG_LONG_REAL_BTC_17K_34K:11;FPSIG_LONG_REAL_BTC_0_17K:6,realworld_bound:97
dio_mcm_episode_08op00s,32,6,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.804887,0.773854,0.044568,0.102121,32,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.582859,0.159124,0.723292,0.857653,0.166821,0.064982,FPSIG_LONG_REAL_BTC_17K_34K:8;FPSIG_LONG_REAL_SOL_0_17K:7;FPSIG_LONG_REAL_BTC_0_17K:5;FPSIG_LONG_REAL_SOL_17K_34K:5;FPSIG_LONG_REAL_BTC_34K_51K:4;FPSIG_LONG_REAL_SOL_34K_51K:3,realworld_bound:32
dio_mcm_episode_0wdly36,30,6,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.799441,0.765716,0.048715,0.162697,30,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.576761,0.166013,0.719408,0.855901,0.135075,0.102486,FPSIG_LONG_REAL_BTC_34K_51K:8;FPSIG_LONG_REAL_SOL_0_17K:7;FPSIG_LONG_REAL_BTC_0_17K:5;FPSIG_LONG_REAL_BTC_17K_34K:5;FPSIG_LONG_REAL_SOL_17K_34K:3;FPSIG_LONG_REAL_SOL_34K_51K:2,realworld_bound:30
dio_mcm_episode_16rq8r1,77,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.7981,0.720555,0.050068,0.148321,77,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.520727,0.192833,0.681552,0.80589,0.214846,0.167901,FPSIG_LONG_REAL_SOL_17K_34K:20;FPSIG_LONG_REAL_BTC_34K_51K:14;FPSIG_LONG_REAL_BTC_17K_34K:13;FPSIG_LONG_REAL_SOL_0_17K:13;FPSIG_LONG_REAL_SOL_34K_51K:12;FPSIG_LONG_REAL_BTC_0_17K:5,realworld_bound:77
dio_mcm_episode_1be1yef,26,6,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.79771,0.773099,0.034512,0.066006,26,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.581463,0.162739,0.721452,0.864422,0.12302,0.095002,FPSIG_LONG_REAL_BTC_17K_34K:9;FPSIG_LONG_REAL_BTC_34K_51K:5;FPSIG_LONG_REAL_SOL_17K_34K:4;FPSIG_LONG_REAL_SOL_34K_51K:4;FPSIG_LONG_REAL_BTC_0_17K:3;FPSIG_LONG_REAL_SOL_0_17K:1,realworld_bound:26
dio_mcm_episode_171moy1,96,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.796715,0.726468,0.059861,0.13009,96,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.518135,0.179675,0.682788,0.796595,0.315439,0.080058,FPSIG_LONG_REAL_BTC_0_17K:18;FPSIG_LONG_REAL_SOL_0_17K:17;FPSIG_LONG_REAL_BTC_17K_34K:16;FPSIG_LONG_REAL_BTC_34K_51K:16;FPSIG_LONG_REAL_SOL_17K_34K:15;FPSIG_LONG_REAL_SOL_34K_51K:14,realworld_bound:96
dio_mcm_episode_0wgvtdq,73,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.796259,0.726596,0.063678,0.192677,73,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.526016,0.186175,0.684215,0.790395,0.342326,0.07685,FPSIG_LONG_REAL_BTC_0_17K:20;FPSIG_LONG_REAL_SOL_17K_34K:17;FPSIG_LONG_REAL_SOL_0_17K:13;FPSIG_LONG_REAL_BTC_17K_34K:10;FPSIG_LONG_REAL_BTC_34K_51K:9;FPSIG_LONG_REAL_SOL_34K_51K:4,realworld_bound:73
dio_mcm_episode_1av7z3w,67,4,positive_recoupling_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.795083,0.738674,0.058558,0.162124,67,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.560565,0.18518,0.705862,0.836865,0.109159,0.164301,FPSIG_LONG_REAL_BTC_17K_34K:32;FPSIG_LONG_REAL_BTC_0_17K:24;FPSIG_LONG_REAL_BTC_34K_51K:10;FPSIG_LONG_REAL_SOL_0_17K:1,realworld_bound:67
