dataset,source,relation_age,eligible_current_edges,carried_edges,carried_continued,carried_continuation_rate,new_edges,new_continued,new_continuation_rate,continuation_rate_difference,future_current_edges,informative
2092_holdout,DOGE_2025,8,15,2,1,0.5,13,4,0.3076923076923077,0.1923076923076923,5,1
2092_holdout,DOGE_2025,9,6,2,2,1.0,4,2,0.5,0.5,4,1
2092_holdout,DOGE_2025,10,8,2,2,1.0,6,3,0.5,0.5,5,1
2092_holdout,DOGE_2025,11,6,3,3,1.0,3,2,0.6666666666666666,0.33333333333333337,5,1
2092_holdout,DOGE_2025,12,2,0,0,0.0,2,2,1.0,-1.0,2,0
2092_holdout,DOGE_2025,13,10,1,0,0.0,9,5,0.5555555555555556,-0.5555555555555556,5,1
2092_holdout,DOGE_2025,14,4,0,0,0.0,4,1,0.25,-0.25,1,0
2092_holdout,DOGE_2025,15,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,16,6,1,0,0.0,5,0,0.0,0.0,0,1
2092_holdout,DOGE_2025,17,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,DOGE_2025,18,4,0,0,0.0,4,2,0.5,-0.5,2,0
2092_holdout,DOGE_2025,19,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,20,2,1,0,0.0,1,1,1.0,-1.0,1,1
2092_holdout,DOGE_2025,21,3,2,1,0.5,1,1,1.0,-0.5,2,1
2092_holdout,DOGE_2025,22,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2025,23,5,0,0,0.0,5,3,0.6,-0.6,3,0
2092_holdout,DOGE_2025,25,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,26,1,0,0,0.0,1,0,0.0,0.0,0,0
2092_holdout,DOGE_2025,27,2,0,0,0.0,2,2,1.0,-1.0,2,0
2092_holdout,DOGE_2025,28,2,0,0,0.0,2,1,0.5,-0.5,1,0
2092_holdout,DOGE_2025,29,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,30,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,31,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2025,32,3,3,3,1.0,0,0,0.0,1.0,3,0
2092_holdout,DOGE_2025,36,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,38,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,41,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,DOGE_2025,44,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,DOGE_2025,49,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,3,119,74,54,0.7297297297297297,45,32,0.7111111111111111,0.018618618618618576,86,1
2092_holdout,PAXG_2024,4,80,44,26,0.5909090909090909,36,27,0.75,-0.15909090909090906,53,1
2092_holdout,PAXG_2024,5,21,10,4,0.4,11,1,0.09090909090909091,0.3090909090909091,5,1
2092_holdout,PAXG_2024,6,11,1,1,1.0,10,4,0.4,0.6,5,1
2092_holdout,PAXG_2024,7,3,1,1,1.0,2,1,0.5,0.5,2,1
2092_holdout,PAXG_2024,8,1,0,0,0.0,1,0,0.0,0.0,0,0
2092_holdout,PAXG_2024,10,3,2,2,1.0,1,0,0.0,1.0,2,1
2092_holdout,PAXG_2024,11,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,PAXG_2024,12,2,2,2,1.0,0,0,0.0,1.0,2,0
2092_holdout,PAXG_2024,13,3,1,0,0.0,2,1,0.5,-0.5,1,1
2092_holdout,PAXG_2024,14,3,1,1,1.0,2,1,0.5,0.5,2,1
2092_holdout,PAXG_2024,15,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,16,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,18,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,19,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,25,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,PAXG_2024,26,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,PAXG_2024,29,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,PAXG_2024,30,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,PAXG_2024,35,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2024,37,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2025,3,425,220,68,0.3090909090909091,205,100,0.4878048780487805,-0.1787139689578714,168,1
2092_holdout,PAXG_2025,4,158,86,67,0.7790697674418605,72,60,0.8333333333333334,-0.054263565891472854,127,1
2092_holdout,PAXG_2025,5,34,22,13,0.5909090909090909,12,8,0.6666666666666666,-0.07575757575757569,21,1
2092_holdout,PAXG_2025,6,3,2,0,0.0,1,0,0.0,0.0,0,1
2092_holdout,PAXG_2025,7,11,7,6,0.8571428571428571,4,3,0.75,0.1071428571428571,9,1
2092_holdout,PAXG_2025,8,4,1,1,1.0,3,2,0.6666666666666666,0.33333333333333337,3,1
2092_holdout,PAXG_2025,9,4,0,0,0.0,4,3,0.75,-0.75,3,0
2092_holdout,PAXG_2025,10,4,3,3,1.0,1,0,0.0,1.0,3,1
2092_holdout,PAXG_2025,11,7,2,0,0.0,5,1,0.2,-0.2,1,1
2092_holdout,PAXG_2025,13,4,1,1,1.0,3,1,0.3333333333333333,0.6666666666666667,2,1
2092_holdout,PAXG_2025,14,3,1,1,1.0,2,1,0.5,0.5,2,1
2092_holdout,PAXG_2025,15,4,1,1,1.0,3,2,0.6666666666666666,0.33333333333333337,3,1
2092_holdout,PAXG_2025,16,2,1,1,1.0,1,1,1.0,0.0,2,1
2092_holdout,PAXG_2025,17,1,0,0,0.0,1,0,0.0,0.0,0,0
2092_holdout,PAXG_2025,18,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,PAXG_2025,19,3,2,1,0.5,1,0,0.0,0.5,1,1
2092_holdout,PAXG_2025,20,4,2,0,0.0,2,2,1.0,-1.0,2,1
2092_holdout,PAXG_2025,22,2,1,0,0.0,1,1,1.0,-1.0,1,1
2092_holdout,PAXG_2025,23,1,0,0,0.0,1,0,0.0,0.0,0,0
2092_holdout,PAXG_2025,24,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,PAXG_2025,25,2,2,1,0.5,0,0,0.0,0.5,1,0
2092_holdout,PAXG_2025,26,2,2,0,0.0,0,0,0.0,0.0,0,0
2092_holdout,PAXG_2025,28,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2025,29,2,1,1,1.0,1,1,1.0,0.0,2,1
2092_holdout,PAXG_2025,31,2,1,1,1.0,1,0,0.0,1.0,1,1
2092_holdout,PAXG_2025,32,2,1,1,1.0,1,1,1.0,0.0,2,1
2092_holdout,PAXG_2025,37,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2025,39,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,PAXG_2025,45,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,XRP_2024,3,1679,822,532,0.6472019464720195,857,599,0.6989498249708285,-0.05174787849880902,1131,1
2092_holdout,XRP_2024,4,407,187,118,0.6310160427807486,220,166,0.7545454545454545,-0.12352941176470589,284,1
2092_holdout,XRP_2024,5,136,61,43,0.7049180327868853,75,55,0.7333333333333333,-0.02841530054644803,98,1
2092_holdout,XRP_2024,6,46,18,12,0.6666666666666666,28,25,0.8928571428571429,-0.22619047619047628,37,1
2092_holdout,XRP_2024,7,16,4,3,0.75,12,9,0.75,0.0,12,1
2092_holdout,XRP_2024,8,13,9,9,1.0,4,4,1.0,0.0,13,1
2092_holdout,XRP_2024,9,17,5,4,0.8,12,5,0.4166666666666667,0.38333333333333336,9,1
2092_holdout,XRP_2024,10,5,2,2,1.0,3,1,0.3333333333333333,0.6666666666666667,3,1
2092_holdout,XRP_2024,11,9,3,2,0.6666666666666666,6,2,0.3333333333333333,0.3333333333333333,4,1
2092_holdout,XRP_2024,12,5,1,0,0.0,4,1,0.25,-0.25,1,1
2092_holdout,XRP_2024,13,3,0,0,0.0,3,2,0.6666666666666666,-0.6666666666666666,2,0
2092_holdout,XRP_2024,14,7,1,0,0.0,6,5,0.8333333333333334,-0.8333333333333334,5,1
2092_holdout,XRP_2024,15,5,1,0,0.0,4,3,0.75,-0.75,3,1
2092_holdout,XRP_2024,16,6,1,1,1.0,5,4,0.8,0.19999999999999996,5,1
2092_holdout,XRP_2024,17,5,1,0,0.0,4,3,0.75,-0.75,3,1
2092_holdout,XRP_2024,18,2,1,0,0.0,1,1,1.0,-1.0,1,1
2092_holdout,XRP_2024,19,3,1,1,1.0,2,2,1.0,0.0,3,1
2092_holdout,XRP_2024,20,4,2,0,0.0,2,2,1.0,-1.0,2,1
2092_holdout,XRP_2024,21,1,0,0,0.0,1,1,1.0,-1.0,1,0
2092_holdout,XRP_2024,22,2,0,0,0.0,2,1,0.5,-0.5,1,0
2092_holdout,XRP_2024,23,1,1,1,1.0,0,0,0.0,1.0,1,0
2092_holdout,XRP_2024,24,4,0,0,0.0,4,4,1.0,-1.0,4,0
2092_holdout,XRP_2024,25,3,1,0,0.0,2,2,1.0,-1.0,2,1
