role_family,component,response_symbol,response_axis,observations,evidence_sources,mean_value,median_value,population_stdev,median_absolute_deviation,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,positive_share,negative_share,observation_directional_persistence,mean_null_percentile,source_positive_means,source_negative_means,source_zero_means,source_directional_persistence,source_mean_range,source_sign_switches,source_ids,source_mean_path,source_sign_path,axis_observation_persistence_percentile,axis_source_persistence_percentile,axis_mad_percentile,axis_source_range_percentile
rf_13,volume,dio_rresponse_0wjbe72,continuity,6,2,-0.01781066666666667,-0.029219000000000002,0.06821789537129454,0.0181055,-0.116813,0.113102,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.51,0,2,0,1.0,0.03031266666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.002654;-0.032967,-1;-1,0.46875,0.609375,0.328125,0.390625
rf_13,volume,dio_rresponse_0wjbe72,event_share,6,2,2.7999999999999976e-05,-0.0001675,0.0005604843143805781,0.0003355,-0.000559,0.001006,2,3,1,0.3333333333333333,0.5,0.16666666666666666,0.4258333333333333,1,1,0,0.0,0.00095,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000503;-0.000447,1;-1,0.140625,0.125,0.515625,0.703125
rf_13,volume,dio_rresponse_0wjbe72,member_coverage,6,2,-0.046296333333333335,-0.060185,0.10171152847746524,0.060185499999999996,-0.166667,0.148148,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.44833333333333336,0,2,0,1.0,0.07407399999999999,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.009259;-0.083333,-1;-1,0.546875,0.6875,0.859375,0.671875
rf_07,sign,dio_rresponse_0xmmivn,continuity,6,2,-0.006814833333333333,-0.0062715,0.006715258084309857,0.0049815,-0.018495,0.002284,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.6016666666666667,0,2,0,1.0,0.001301000000000001,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.007465;-0.006164,-1;-1,0.46875,0.609375,0.109375,0.015625
rf_07,sign,dio_rresponse_0xmmivn,event_share,6,2,-0.0017885,-0.0017885,0.0029722523305847817,0.002375,-0.006875,0.001789,2,4,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.37916666666666665,0,2,0,1.0,0.001957,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.002767;-0.000810,-1;-1,0.3125,0.65625,0.984375,0.859375
rf_07,sign,dio_rresponse_0xmmivn,member_coverage,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.6283333333333333,0,0,2,0.0,0.0,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000000;0.000000,0;0,0.09375,0.140625,0.0625,0.0625
rf_10,volume,dio_rresponse_10ffbvw,continuity,6,2,-0.10138733333333333,-0.1160985,0.09760472100376201,0.0873005,-0.208333,0.037088,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.32,0,2,0,1.0,0.18711066666666665,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.007832;-0.194943,-1;-1,0.46875,0.609375,0.984375,0.984375
rf_10,volume,dio_rresponse_10ffbvw,event_share,6,2,-0.00022366666666666666,-0.0002515,0.00037529973206610327,0.0003635,-0.000671,0.000279,2,3,1,0.3333333333333333,0.5,0.16666666666666666,0.2475,1,1,0,0.0,0.0007266666666666666,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000140;-0.000587,1;-1,0.140625,0.125,0.546875,0.546875
rf_10,volume,dio_rresponse_10ffbvw,member_coverage,6,2,-0.10416666666666667,-0.0972225,0.09204105084809833,0.09027750000000001,-0.222222,0.0,0,5,1,0.0,0.8333333333333334,0.8333333333333334,0.32166666666666666,0,2,0,1.0,0.18055533333333332,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.013889;-0.194444,-1;-1,0.6875,0.6875,0.953125,0.953125
rf_21,magnitude,dio_rresponse_10icwaj,continuity,6,2,0.013286666666666665,0.0091985,0.027727768035350812,0.018788,-0.017207,0.065272,4,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.605,2,0,0,1.0,0.025779999999999997,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.026177;0.000397,1;1,0.234375,0.609375,0.359375,0.265625
rf_21,magnitude,dio_rresponse_10icwaj,event_share,6,2,-0.0005726666666666666,-0.000475,0.000295788588165414,0.000182,-0.001062,-0.000279,0,6,0,0.0,1.0,1.0,0.535,0,2,0,1.0,0.0005313333333333333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000307;-0.000838,-1;-1,0.84375,0.65625,0.234375,0.484375
rf_21,magnitude,dio_rresponse_10icwaj,member_coverage,6,2,0.020833333333333336,0.013889,0.035636113890577664,0.0208335,-0.027778,0.083333,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0.6433333333333333,1,0,1,0.5,0.04166666666666667,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.041667;0.000000,1;0,0.359375,0.328125,0.28125,0.546875
rf_10,magnitude,dio_rresponse_115nq6h,continuity,6,2,-0.09436666666666667,-0.0869045,0.03307781650223538,0.026725999999999993,-0.150856,-0.055357,0,6,0,0.0,1.0,1.0,0.21833333333333335,0,2,0,1.0,0.05651133333333333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.066111;-0.122622,-1;-1,0.796875,0.609375,0.546875,0.671875
rf_10,magnitude,dio_rresponse_115nq6h,event_share,6,2,-0.000433,-0.000433,0.0001044541366661305,0.00011200000000000001,-0.000559,-0.000279,0,6,0,0.0,1.0,1.0,0.3375,0,2,0,1.0,2.800000000000003e-05,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000419;-0.000447,-1;-1,0.84375,0.65625,0.140625,0.03125
rf_10,magnitude,dio_rresponse_115nq6h,member_coverage,6,2,-0.11805550000000001,-0.11805550000000001,0.02973457254751333,0.027778000000000004,-0.166667,-0.083333,0,6,0,0.0,1.0,1.0,0.19916666666666666,0,2,0,1.0,0.013888999999999999,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.111111;-0.125000,-1;-1,0.875,0.6875,0.5625,0.15625
rf_17,volume,dio_rresponse_15if51a,continuity,6,2,-0.26224033333333335,-0.2602215,0.04791069517921395,0.028835499999999986,-0.345833,-0.191667,0,6,0,0.0,1.0,1.0,0.018333333333333333,0,2,0,1.0,0.053036666666666676,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.235722;-0.288759,-1;-1,0.796875,0.609375,0.578125,0.609375
rf_17,volume,dio_rresponse_15if51a,event_share,6,2,-0.0009918333333333333,-0.000908,0.00047147443079014254,0.00016800000000000002,-0.0019,-0.000335,0,6,0,0.0,1.0,1.0,0.029166666666666667,0,2,0,1.0,0.00025166666666666675,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.001118;-0.000866,-1;-1,0.84375,0.65625,0.171875,0.296875
rf_17,volume,dio_rresponse_15if51a,member_coverage,6,2,-0.277778,-0.2847225,0.05837732027651378,0.020833500000000005,-0.361111,-0.166667,0,6,0,0.0,1.0,1.0,0.026666666666666665,0,2,0,1.0,0.027778000000000025,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.263889;-0.291667,-1;-1,0.875,0.6875,0.328125,0.328125
rf_10,sign,dio_rresponse_17fhgij,continuity,6,2,-0.08164266666666667,-0.08252300000000001,0.022833631903157434,0.012481000000000006,-0.11131,-0.038462,0,6,0,0.0,1.0,1.0,0.375,0,2,0,1.0,0.013412000000000007,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.074937;-0.088349,-1;-1,0.796875,0.609375,0.234375,0.171875
rf_10,sign,dio_rresponse_17fhgij,event_share,6,2,-0.0003631666666666667,-0.00036300000000000004,0.0001669135671204977,5.6000000000000006e-05,-0.000615,-5.6e-05,0,6,0,0.0,1.0,1.0,0.4275,0,2,0,1.0,5.56666666666667e-05,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000335;-0.000391,-1;-1,0.84375,0.65625,0.078125,0.078125
rf_10,sign,dio_rresponse_17fhgij,member_coverage,6,2,-0.09027783333333333,-0.09027750000000001,0.02973418329923024,0.0277775,-0.138889,-0.055556,0,6,0,0.0,1.0,1.0,0.33166666666666667,0,2,0,1.0,0.013888999999999999,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.097222;-0.083333,-1;-1,0.875,0.6875,0.453125,0.15625
rf_13,magnitude,dio_rresponse_1fzgwzt,continuity,6,2,-0.09532183333333333,-0.06980549999999999,0.046969310701835465,0.009448499999999995,-0.187719,-0.052114,0,6,0,0.0,1.0,1.0,0.11166666666666668,0,2,0,1.0,0.05183633333333333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.121240;-0.069404,-1;-1,0.796875,0.609375,0.171875,0.578125
rf_13,magnitude,dio_rresponse_1fzgwzt,event_share,6,2,-0.0006428333333333334,-0.001034,0.0006411761111859639,5.600000000000006e-05,-0.001118,0.000615,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.28,0,2,0,1.0,0.0008383333333333333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000224;-0.001062,-1;-1,0.53125,0.65625,0.109375,0.640625
