dataset,universe_scope,younger_exact_run_length,older_exact_run_length,exact_age_gap,matched_pairs,older_wins,ties,older_losses,older_age_auc
2092_holdout,universe_a,8,12,4,59,0,59,0,0.5
2092_holdout,universe_a,8,14,6,78,0,78,0,0.5
2092_holdout,universe_a,9,10,1,114,0,80,34,0.3508771929824561
2092_holdout,universe_a,9,11,2,44,0,44,0,0.5
2092_holdout,universe_a,9,13,4,59,0,59,0,0.5
2092_holdout,universe_a,9,15,6,34,34,0,0,1.0
2092_holdout,universe_a,10,11,1,41,0,41,0,0.5
2092_holdout,universe_a,10,12,2,44,0,44,0,0.5
2092_holdout,universe_a,10,14,4,37,0,37,0,0.5
2092_holdout,universe_a,11,12,1,41,0,0,41,0.0
2092_holdout,universe_a,11,13,2,44,0,44,0,0.5
2092_holdout,universe_a,11,15,4,37,0,37,0,0.5
2092_holdout,universe_a,12,14,2,44,0,44,0,0.5
2092_holdout,universe_a,13,15,2,44,0,44,0,0.5
2092_holdout,universe_b,1,2,1,2778,89,2324,365,0.4503239740820734
2092_holdout,universe_b,1,3,2,794,113,574,107,0.5037783375314862
2092_holdout,universe_b,1,4,3,802,0,711,91,0.44326683291770574
2092_holdout,universe_b,1,5,4,445,0,377,68,0.42359550561797754
2092_holdout,universe_b,1,6,5,270,38,232,0,0.5703703703703704
2092_holdout,universe_b,1,7,6,187,0,177,10,0.4732620320855615
2092_holdout,universe_b,1,8,7,177,0,177,0,0.5
2092_holdout,universe_b,1,9,8,89,0,89,0,0.5
2092_holdout,universe_b,1,10,9,33,0,33,0,0.5
2092_holdout,universe_b,1,11,10,7,0,7,0,0.5
2092_holdout,universe_b,1,12,11,7,0,7,0,0.5
2092_holdout,universe_b,1,13,12,10,0,10,0,0.5
2092_holdout,universe_b,1,15,14,34,0,34,0,0.5
2092_holdout,universe_b,1,17,16,1,0,1,0,0.5
2092_holdout,universe_b,2,3,1,1598,54,1450,94,0.4874843554443054
2092_holdout,universe_b,2,4,2,417,21,389,7,0.5167865707434053
2092_holdout,universe_b,2,5,3,525,0,461,64,0.439047619047619
2092_holdout,universe_b,2,6,4,279,0,237,42,0.42473118279569894
2092_holdout,universe_b,2,7,5,202,42,160,0,0.6039603960396039
2092_holdout,universe_b,2,8,6,166,0,131,35,0.39457831325301207
2092_holdout,universe_b,2,9,7,125,0,80,45,0.32
2092_holdout,universe_b,2,10,8,78,0,78,0,0.5
2092_holdout,universe_b,2,12,10,7,0,7,0,0.5
2092_holdout,universe_b,2,13,11,7,7,0,0,1.0
2092_holdout,universe_b,2,16,14,34,0,34,0,0.5
2092_holdout,universe_b,3,4,1,1027,84,843,100,0.49221032132424536
2092_holdout,universe_b,3,5,2,305,10,295,0,0.5163934426229508
2092_holdout,universe_b,3,6,3,352,114,238,0,0.6619318181818182
2092_holdout,universe_b,3,7,4,193,0,193,0,0.5
2092_holdout,universe_b,3,8,5,129,0,122,7,0.4728682170542636
2092_holdout,universe_b,3,9,6,131,43,44,44,0.4961832061068702
2092_holdout,universe_b,3,10,7,80,0,80,0,0.5
2092_holdout,universe_b,3,11,8,78,0,78,0,0.5
2092_holdout,universe_b,3,13,10,7,6,1,0,0.9285714285714286
2092_holdout,universe_b,3,17,14,34,0,34,0,0.5
2092_holdout,universe_b,4,5,1,655,37,573,45,0.49389312977099237
2092_holdout,universe_b,4,6,2,293,34,196,63,0.45051194539249145
2092_holdout,universe_b,4,7,3,112,10,95,7,0.5133928571428571
2092_holdout,universe_b,4,8,4,128,0,128,0,0.5
2092_holdout,universe_b,4,9,5,122,0,69,53,0.2827868852459016
2092_holdout,universe_b,4,10,6,44,0,44,0,0.5
2092_holdout,universe_b,4,11,7,80,0,80,0,0.5
2092_holdout,universe_b,4,12,8,78,0,78,0,0.5
2092_holdout,universe_b,4,14,10,1,0,1,0,0.5
2092_holdout,universe_b,5,6,1,391,9,284,98,0.38618925831202044
2092_holdout,universe_b,5,7,2,160,0,160,0,0.5
2092_holdout,universe_b,5,8,3,44,0,44,0,0.5
2092_holdout,universe_b,5,9,4,122,0,122,0,0.5
2092_holdout,universe_b,5,10,5,59,0,50,9,0.423728813559322
2092_holdout,universe_b,5,12,7,80,0,80,0,0.5
2092_holdout,universe_b,5,13,8,44,0,44,0,0.5
2092_holdout,universe_b,6,7,1,108,0,108,0,0.5
2092_holdout,universe_b,6,8,2,31,0,31,0,0.5
2092_holdout,universe_b,6,9,3,43,0,43,0,0.5
2092_holdout,universe_b,6,10,4,81,0,81,0,0.5
2092_holdout,universe_b,6,11,5,43,0,43,0,0.5
2092_holdout,universe_b,6,13,7,47,0,47,0,0.5
2092_holdout,universe_b,6,14,8,44,0,44,0,0.5
2092_holdout,universe_b,7,8,1,70,0,67,3,0.4785714285714286
2092_holdout,universe_b,7,9,2,19,0,19,0,0.5
2092_holdout,universe_b,7,10,3,43,0,43,0,0.5
2092_holdout,universe_b,7,11,4,51,44,7,0,0.9313725490196079
2092_holdout,universe_b,7,12,5,43,0,43,0,0.5
2092_holdout,universe_b,7,14,7,47,0,44,3,0.46808510638297873
2092_holdout,universe_b,7,15,8,44,0,44,0,0.5
2092_holdout,universe_b,8,9,1,34,0,34,0,0.5
2092_holdout,universe_b,8,10,2,12,0,12,0,0.5
2092_holdout,universe_b,8,11,3,43,21,22,0,0.7441860465116279
2092_holdout,universe_b,8,12,4,7,0,7,0,0.5
2092_holdout,universe_b,8,13,5,43,0,43,0,0.5
2092_holdout,universe_b,8,15,7,44,0,44,0,0.5
2092_holdout,universe_b,8,16,8,44,0,44,0,0.5
2092_holdout,universe_b,9,10,1,34,0,34,0,0.5
2092_holdout,universe_b,9,11,2,11,0,11,0,0.5
2092_holdout,universe_b,9,12,3,22,0,22,0,0.5
2092_holdout,universe_b,9,13,4,7,0,7,0,0.5
2092_holdout,universe_b,9,14,5,43,0,43,0,0.5
2092_holdout,universe_b,9,16,7,44,0,44,0,0.5
2092_holdout,universe_b,9,17,8,44,0,44,0,0.5
2092_holdout,universe_b,10,11,1,34,34,0,0,1.0
2092_holdout,universe_b,10,12,2,11,0,11,0,0.5
2092_holdout,universe_b,10,13,3,22,0,22,0,0.5
2092_holdout,universe_b,10,14,4,7,0,7,0,0.5
2092_holdout,universe_b,10,15,5,43,0,43,0,0.5
2092_holdout,universe_b,10,17,7,44,0,44,0,0.5
2092_holdout,universe_b,10,18,8,44,0,44,0,0.5
2092_holdout,universe_b,11,13,2,11,0,11,0,0.5
2092_holdout,universe_b,11,14,3,22,0,22,0,0.5
2092_holdout,universe_b,11,15,4,7,0,7,0,0.5
2092_holdout,universe_b,11,16,5,43,43,0,0,1.0
2092_holdout,universe_b,11,18,7,44,0,44,0,0.5
2092_holdout,universe_b,11,19,8,44,0,0,44,0.0
2092_holdout,universe_b,12,14,2,11,0,11,0,0.5
2092_holdout,universe_b,12,15,3,22,0,22,0,0.5
2092_holdout,universe_b,12,16,4,7,0,7,0,0.5
2092_holdout,universe_b,12,19,7,44,0,44,0,0.5
2092_holdout,universe_b,13,15,2,11,0,0,11,0.0
2092_holdout,universe_b,13,16,3,22,0,22,0,0.5
2092_holdout,universe_b,14,17,3,22,0,22,0,0.5
2092_holdout,universe_b,15,18,3,22,0,0,22,0.0
