world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score
PAXG_2024_5M_10K,dio_1uof,90,0.009005,stabil,0.7,0.715272,0.55184,0.144397,0.822445,0.012785,0.079098,0.042097,0.042097,0.192221,0.759562,0.565769,0.030276,0.772465
PAXG_2024_5M_10K,dio_1ygx,44,0.004403,stabil,1.0,0.74813,0.567562,0.100215,0.922621,0.007499,0.039383,0.022851,0.022851,0.08077,0.712946,0.82016,0.026452,0.815845
PAXG_2024_5M_10K,dio_0une,20,0.002001,stabil,1.0,0.729567,0.540312,0.120358,0.915502,0.071338,0.064807,0.085603,0.085603,0.029499,0.653377,0.806251,0.156941,0.790848
PAXG_2024_5M_10K,dio_1tiu,55,0.005503,stabil,1.0,0.73814,0.560848,0.121133,0.912281,0.064987,0.06595,0.079444,0.079444,0.121606,0.72956,0.804924,0.144431,0.797109
PAXG_2024_5M_10K,dio_1lsu,126,0.012608,stabil,1.0,0.717024,0.546544,0.155796,0.856881,0.099066,0.113185,0.13899,0.13899,0.191229,0.765201,0.624277,0.238056,0.762888
PAXG_2024_5M_10K,dio_0f8s,71,0.007104,stabil,1.0,0.709377,0.527785,0.170709,0.864924,0.155089,0.170684,0.210486,0.210486,0.179975,0.751142,0.778992,0.365576,0.746243
PAXG_2024_5M_10K,dio_18po,81,0.008105,stabil,1.0,0.700086,0.514648,0.181642,0.840432,0.157641,0.201093,0.243471,0.243471,0.179463,0.756831,0.623398,0.401112,0.730687
PAXG_2024_5M_10K,dio_05ap,24,0.002401,stabil,1.0,0.739574,0.550633,0.110572,0.918976,0.032833,0.050748,0.049445,0.049445,0.077867,0.679632,0.816414,0.082278,0.803763
PAXG_2024_5M_10K,dio_0pq6,56,0.005603,stabil,0.964286,0.71654,0.543848,0.144069,0.851345,0.049101,0.098308,0.08878,0.08878,0.114772,0.722142,0.625682,0.137881,0.770945
PAXG_2024_5M_10K,dio_0tay,76,0.007605,stabil,1.0,0.723711,0.553239,0.140971,0.868169,0.062395,0.080898,0.082831,0.082831,0.125033,0.739021,0.780116,0.145226,0.778637
