counterform_kind,window_reading,phase_key,world,data_file,current_start_tick,current_end_tick,center_tick,current_loudness,current_intake,current_sharpness,current_rekopplung,current_strain,delta_next_rekopplung,delta_next_strain,raw_return,range_ratio,expansion_ratio,direction_consistency,movement_class,severity
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,4721,4721,4721,0.873702,0.492495,0.473581,0.573711,0.29645,0.029687,-0.051124,0.00047393,0.01054502,3.68087558,0.01538462,bewegungsbruch,0.010157
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,2952,2952,2952,0.731352,0.41803,0.720599,0.619916,0.255264,0.032431,-0.047476,0.00329995,0.01832044,2.36403996,0.01449275,bewegungsbruch,0.010047
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,5601,5601,5601,0.76526,0.435995,0.649947,0.620286,0.256464,0.031819,-0.054817,-0.02021494,0.03441658,5.3242805,0.02941176,bewegungsbruch,0.009091
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,254,255,254,0.541291,0.312928,0.44819,0.600078,0.25952,0.032732,-0.053227,-0.06809466,0.16262996,3.58399075,0.14285714,bewegungsbruch,0.008634
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,2582,2582,2582,0.319337,0.201729,0.247043,0.573058,0.281004,0.037262,-0.046367,-0.00195312,0.04736328,2.34065934,0.01492537,bewegungsbruch,0.008186
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,3911,3911,3911,0.826021,0.464948,0.521005,0.581041,0.288794,0.034069,-0.05153,-0.01110162,0.01579846,2.56626506,0.14754098,bewegungsbruch,0.007966
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,9478,9478,9478,0.741504,0.419685,0.66702,0.623543,0.254996,0.034887,-0.070821,0.04677804,0.08544153,2.43324808,0.11764706,bewegungsbruch,0.007557
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,8927,8927,8927,0.743946,0.424981,0.572322,0.622017,0.273918,0.035216,-0.077795,0.00545364,0.00793257,5.34408602,0.15555556,bewegungsbruch,0.007392
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,5762,5762,5762,0.834156,0.484336,0.47249,0.604011,0.265639,0.035408,-0.060135,0.00726876,0.01163002,6.13728814,0.1875,bewegungsbruch,0.007296
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,8188,8188,8188,0.823382,0.471251,0.513226,0.608287,0.256589,0.035648,-0.052484,-0.00093809,0.03564728,4.58443709,0.10447761,bewegungsbruch,0.007176
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,233,233,233,0.662109,0.386073,0.752426,0.600454,0.264132,0.036543,-0.049407,0.01815694,0.02731262,2.43734011,0.07246377,bewegungsbruch,0.007025
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,7208,7208,7208,0.83247,0.483034,0.636226,0.61224,0.258395,0.036076,-0.055241,0.00175541,0.0140433,3.7960396,0.01538462,bewegungsbruch,0.006962
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,2834,2834,2834,0.892953,0.505015,0.667834,0.578153,0.29688,0.036266,-0.060309,0.06936416,0.08246628,3.61702128,0.27536232,bewegungsbruch,0.006867
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8880,8880,8880,0.692199,0.394219,0.718237,0.62477,0.257159,0.03685,-0.060321,-0.01431373,0.02941176,3.40960452,0.15625,bewegungsbruch,0.006575
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,2391,2391,2391,0.693143,0.400437,0.633747,0.599082,0.260781,0.038276,-0.049629,0.02260106,0.03047914,2.23561346,0.10769231,bewegungsbruch,0.006048
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,9488,9488,9488,0.733402,0.419694,0.721016,0.612858,0.266345,0.037909,-0.065462,0.01499821,0.02106892,2.58130244,0.05714286,bewegungsbruch,0.006046
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,819,819,819,0.629394,0.350033,0.663704,0.608483,0.254043,0.038075,-0.062837,0.01044932,0.04144897,3.36472705,0.05882353,bewegungsbruch,0.005963
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,offene_variante->spannungsrand_kippnaehe->offene_variante,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,2658,2658,2658,0.805929,0.448911,0.34228,0.587452,0.274515,0.038483,-0.065041,0.02115101,0.04131825,3.44165171,0.16923077,bewegungsbruch,0.005758
schwache_entlastung_gebrochene_rekopplung,rekopplung_bricht_in_last,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,5095,5095,5095,0.714474,0.410704,0.725984,0.61477,0.259385,0.039892,-0.065758,-0.01374755,0.02803071,3.82543103,0.01538462,bewegungsbruch,0.005054
