preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_delta,old_broad,new_broad,broad_delta,old_transition,new_transition,transition_delta,old_milieu,new_milieu,milieu_delta,follow_hits_in_top_worlds,top_worlds
dio_mcm_episode_19h8lor,nebenrolle,nebenrolle,77,85,8,14,16,2,0.293335,0.324051,0.030716,0.091325,0.099167,0.007842,0.173362,0.158984,-0.014378,8,BTC_LONG_2025_5M_QUIET:14;QUIET_NEAR_BTC_1869:14;BTC_1H_B:11;BTC_1H_A:7;QUIET_NEAR_PAXG2024_1H:6;FOLLOW_PAXG_2024_5M_2000:5;REAL_TIME_2024_PAXG:5;PAXG_1H_A:4;FOLLOW_XRP_2024_5M_2000:3;REAL_FOLLOW_PAXG_6000:3
dio_mcm_episode_0izppf1,nebenrolle,nebenrolle,48,56,8,16,18,2,0.278639,0.307654,0.029015,0.169795,0.169338,-0.000457,0.151522,0.133822,-0.0177,8,REAL_FOLLOW_SOL_6000:11;SOL_10K_A:7;FOLLOW_XRP_2024_5M_2000:5;REAL_FOLLOW_DOGE_6000:5;REAL_TIME_2024_XRP:5;BTC_FIELD_QUIET_04:3;BTC_STRESS_2025_5M:3;FOLLOW_DOGE_2024_5M_2000:3;REAL_FOLLOW_XRP_6000:3;BTC_STRESS_2024_5M:2
dio_mcm_episode_0n6m7si,nebenrolle,nebenrolle,44,52,8,12,14,2,0.261981,0.293586,0.031605,0.115124,0.119455,0.004331,0.110108,0.096151,-0.013957,8,REAL_TIME_2023_SOL_ALTSEQ_A:8;PAXG_1846_A:7;REAL_FOLLOW_PAXG_6000:6;BTC_LONG_2024_5M_QUIET:5;FOLLOW_XRP_2024_5M_2000:5;QUIET_NEAR_PAXG2025_1H:4;BTC_STRESS_2025_5M:3;FOLLOW_DOGE_2024_5M_2000:3;SOL_10K_A:3;BTC_10K_A:2
dio_mcm_episode_0xg0gjh,nebenrolle,nebenrolle,42,48,6,21,24,3,0.319883,0.351875,0.031992,0.138609,0.143725,0.005116,0.101333,0.090869,-0.010464,5,REAL_FOLLOW_SOL_6000:4;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_BTC_5M:4;FOLLOW_XRP_2024_5M_2000:3;SOL_10K_A:3;BTC_10K_A:2;BTC_1H_A:2;BTC_SHIFT_2025_15M_16000_17000:2;DOGE_1H_B:2;FOLLOW_DOGE_2024_5M_2000:2
dio_mcm_episode_0d5sirp,nebenrolle,nebenrolle,35,41,6,15,18,3,0.26716,0.307189,0.040029,0.249642,0.251672,0.00203,0.127864,0.112416,-0.015448,2,BTC_FIELD_QUIET_02:3;BTC_FIELD_QUIET_04:3;BTC_SHIFT_2025_15M_16000_17000:3;BTC_SHIFT_2025_30M_10000_11000:3;BTC_STRESS_2025_5M:3;REAL_FOLLOW_PAXG_6000:3;REAL_FOLLOW_XRP_6000:3;BTC_FIELD_QUIET_05:2;BTC_LONG_2024_5M_QUIET:2;FOLLOW_DOGE_2024_5M_2000:2
dio_mcm_episode_0whyn34,nebenrolle,nebenrolle,25,30,5,15,18,3,0.25165,0.282795,0.031145,0.08976,0.094849,0.005089,0.081034,0.070356,-0.010678,3,FOLLOW_DOGE_2024_5M_2000:3;QUIET_NEAR_PAXG2025_1H:3;REAL_FOLLOW_DOGE_6000:3;REAL_FOLLOW_SOL_6000:3;SOL_10K_A:3;REAL_TIME_2024_BTC_5M:2;XRP_1H_A:2;BTC_1H_A:1;BTC_FIELD_QUIET_05:1;BTC_LONG_2024_5M_QUIET:1
dio_mcm_episode_16nc9gj,nebenrolle,nebenrolle,31,36,5,13,15,2,0.247235,0.276094,0.028859,0.145329,0.148153,0.002824,0.120826,0.107397,-0.013429,3,BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;DOGE_1H_B:3;FOLLOW_DOGE_2024_5M_2000:3;PAXG_1H_A:3;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:3;REAL_TIME_2024_SOL_ALTSEQ_A:3;SOL_10K_A:3;BTC_10K_A:2
dio_mcm_episode_08op00s,nebenrolle,nebenrolle,27,32,5,13,14,1,0.245371,0.264653,0.019282,0.134084,0.133117,-0.000967,0.088764,0.078313,-0.010451,5,FOLLOW_XRP_2024_5M_2000:5;QUIET_NEAR_PAXG2025_1H:4;BTC_10K_A:3;BTC_FIELD_QUIET_05:3;BTC_STRESS_2025_5M:3;REAL_TIME_2023_SOL_ALTSEQ_A:3;REAL_FOLLOW_BTC_6000:2;REAL_FOLLOW_PAXG_6000:2;REAL_FOLLOW_XRP_6000:2;BTC_FIELD_QUIET_02:1
dio_mcm_episode_00svqqo,nebenrolle,nebenrolle,82,87,5,8,9,1,0.228812,0.246509,0.017697,0.133888,0.138582,0.004694,0.172197,0.163063,-0.009134,5,BTC_10K_A:26;REAL_FOLLOW_XRP_6000:23;PAXG_1H_A:12;BTC_STRESS_2025_5M:9;REAL_TIME_2024_BTC_5M:7;FOLLOW_DOGE_2024_5M_2000:5;XRP_1H_A:3;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_SOL_6000:1
dio_mcm_episode_094f7up,nebenrolle,nebenrolle,31,36,5,10,11,1,0.208794,0.234472,0.025678,0.08949,0.09401,0.00452,0.133499,0.119113,-0.014386,5,QUIET_NEAR_PAXG2025_1H:6;FOLLOW_XRP_2024_5M_2000:5;REAL_FOLLOW_PAXG_6000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;BTC_FIELD_QUIET_05:3;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_SOL_ALTSEQ_A:3;SOL_10K_A:3;BTC_STRESS_2025_5M:2;PAXG_1846_A:1
dio_mcm_episode_0usdsrp,nebenrolle,nebenrolle,20,24,4,15,18,3,0.232119,0.259998,0.027879,0.120366,0.12228,0.001914,0.067336,0.082175,0.014839,2,REAL_FOLLOW_BTC_6000:3;DOGE_1H_B:2;FOLLOW_DOGE_2024_5M_2000:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_XRP_6000:2;BTC_10K_A:1;BTC_LONG_2025_5M_QUIET:1;BTC_STRESS_2024_5M:1;BTC_STRESS_2025_5M:1;DOGE_1H_A:1
dio_mcm_episode_12fuh1y,nebenrolle,nebenrolle,20,24,4,12,15,3,0.209542,0.241822,0.03228,0.108792,0.113722,0.00493,0.109581,0.095246,-0.014335,2,SOL_10K_A:3;BTC_FIELD_QUIET_02:2;BTC_LONG_2024_5M_QUIET:2;BTC_STRESS_2025_5M:2;FOLLOW_DOGE_2024_5M_2000:2;PAXG_1846_A:2;QUIET_NEAR_PAXG2025_1H:2;REAL_FOLLOW_PAXG_6000:2;BTC_10K_A:1;BTC_LONG_2025_5M_QUIET:1
dio_mcm_episode_1foqdcq,nebenrolle,nebenrolle,13,17,4,10,13,3,0.166153,0.213978,0.047825,0.041977,0.054873,0.012896,0.091454,0.075743,-0.015711,4,FOLLOW_DOGE_2024_5M_2000:2;REAL_FOLLOW_BTC_6000:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;SOL_10K_A:2;BTC_LONG_2024_5M_QUIET:1;DOGE_1H_B:1;FOLLOW_PAXG_2024_5M_2000:1;FOLLOW_XRP_2024_5M_2000:1;PAXG_1846_A:1;QUIET_NEAR_PAXG2025_1H:1
dio_mcm_episode_13yo8ly,nebenrolle,nebenrolle,19,23,4,8,10,2,0.176615,0.211776,0.035161,0.094199,0.101805,0.007606,0.087628,0.075828,-0.0118,4,BTC_1H_A:3;BTC_FIELD_QUIET_02:3;FOLLOW_KAS_2024_5M_2000:3;REAL_FOLLOW_SOL_6000:3;SOL_10K_A:3;BTC_FIELD_QUIET_05:2;BTC_STRESS_2025_5M:2;XRP_1H_A:2;FOLLOW_XRP_2024_5M_2000:1;REAL_TIME_2024_XRP:1
dio_mcm_episode_0iiwvci,nebenrolle,nebenrolle,15,18,3,10,13,3,0.175646,0.215537,0.039891,0.045892,0.056534,0.010642,0.083682,0.072978,-0.010704,3,BTC_10K_A:3;BTC_FIELD_QUIET_03:2;DOGE_1H_A:2;XRP_1H_A:2;BTC_FIELD_QUIET_05:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_PAXG_2024_5M_2000:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_BTC_FIELD_01:1;QUIET_NEAR_SOL_SIDEWAYS:1
dio_mcm_episode_0uie72q,nebenrolle,nebenrolle,13,16,3,11,13,2,0.175739,0.206709,0.03097,0.187303,0.18636,-0.000943,0.072645,0.063004,-0.009641,3,BTC_STRESS_2025_5M:2;FOLLOW_DOGE_2024_5M_2000:2;SOL_10K_A:2;BTC_1H_C:1;BTC_FIELD_QUIET_04:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;DOGE_1H_B:1;FOLLOW_XRP_2024_5M_2000:1;REAL_FOLLOW_SOL_6000:1
dio_mcm_episode_09ugoh7,nebenrolle,nebenrolle,23,26,3,8,10,2,0.172127,0.204215,0.032088,0.108263,0.117992,0.009729,0.115628,0.104552,-0.011076,3,SOL_10K_A:6;BTC_10K_A:3;BTC_FIELD_QUIET_02:3;BTC_STRESS_2025_5M:3;REAL_FOLLOW_SOL_6000:3;BTC_LONG_2025_5M_QUIET:2;FOLLOW_KAS_2024_5M_2000:2;QUIET_NEAR_BTC_1869:2;FOLLOW_XRP_2024_5M_2000:1;REAL_TIME_2024_XRP:1
dio_mcm_episode_16yidit,nebenrolle,nebenrolle,11,14,3,10,12,2,0.154506,0.184368,0.029862,0.077361,0.081411,0.00405,0.080834,0.068953,-0.011881,3,FOLLOW_DOGE_2024_5M_2000:2;QUIET_NEAR_PAXG2024_1H:2;BTC_1H_C:1;BTC_FIELD_QUIET_05:1;BTC_SHIFT_2025_1H_4000_5000:1;DOGE_1H_A:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2025_1H:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_SOL_6000:1
dio_mcm_episode_0mfdlry,nebenrolle,nebenrolle,22,25,3,13,14,1,0.22299,0.242925,0.019935,0.218209,0.214114,-0.004095,0.089397,0.081463,-0.007934,3,BTC_SHIFT_2025_15M_16000_17000:3;FOLLOW_DOGE_2024_5M_2000:3;QUIET_NEAR_SOL_SIDEWAYS:3;BTC_FIELD_QUIET_02:2;BTC_SHIFT_2025_30M_10000_11000:2;REAL_FOLLOW_BTC_6000:2;REAL_FOLLOW_SOL_6000:2;REAL_FOLLOW_XRP_6000:2;BTC_1H_A:1;BTC_FIELD_QUIET_05:1
dio_mcm_episode_0g2f7e4,nebenrolle,nebenrolle,32,34,2,15,17,2,0.255117,0.271034,0.015917,0.170014,0.17357,0.003556,0.155801,0.14777,-0.008031,0,BTC_FIELD_QUIET_02:3;BTC_FIELD_QUIET_04:3;BTC_FIELD_QUIET_05:3;BTC_LONG_2024_5M_QUIET:3;BTC_STRESS_2025_5M:3;REAL_FOLLOW_XRP_6000:3;BTC_10K_A:2;BTC_1H_B:2;QUIET_NEAR_BTC_FIELD_01:2;QUIET_NEAR_SOL_SIDEWAYS:2
dio_mcm_episode_1c8zokt,nebenrolle,nebenrolle,78,80,2,5,6,1,0.168345,0.188718,0.020373,0.044889,0.049943,0.005054,0.17968,0.184476,0.004796,2,REAL_FOLLOW_DOGE_6000:33;REAL_FOLLOW_XRP_6000:23;REAL_FOLLOW_SOL_6000:20;FOLLOW_DOGE_2024_5M_2000:2;BTC_10K_A:1;SOL_10K_A:1
dio_mcm_episode_1dpkuqy,nebenrolle,nebenrolle,12,14,2,9,10,1,0.156757,0.171914,0.015157,0.143308,0.14122,-0.002088,0.058041,0.087375,0.029334,2,BTC_10K_A:2;FOLLOW_XRP_2024_5M_2000:2;QUIET_NEAR_PAXG2024_1H:2;REAL_TIME_2024_XRP:2;BTC_1H_C:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_SHIFT_2025_30M_10000_11000:1;BTC_STRESS_2025_5M:1;DOGE_1H_A:1;XRP_1H_A:1
dio_mcm_episode_1y7uo9c,nebenrolle,nebenrolle,29,30,1,17,18,1,0.268535,0.27755,0.009015,0.190792,0.19253,0.001738,0.093056,0.090458,-0.002598,0,REAL_FOLLOW_DOGE_6000:4;BTC_SHIFT_2025_15M_16000_17000:3;REAL_FOLLOW_BTC_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:3;REAL_TIME_2024_BTC_5M:3;XRP_1H_A:2;BTC_10K_A:1;BTC_1H_A:1;BTC_1H_B:1;BTC_SHIFT_2025_30M_10000_11000:1
dio_mcm_episode_0tnueiv,nebenrolle,nebenrolle,39,40,1,14,15,1,0.263073,0.273798,0.010725,0.104152,0.107362,0.00321,0.101886,0.0995,-0.002386,0,DOGE_1H_B:8;PAXG_1846_A:6;REAL_FOLLOW_PAXG_6000:4;DOGE_1H_A:3;QUIET_NEAR_BTC_FIELD_01:3;REAL_FOLLOW_BTC_6000:3;BTC_1H_A:2;BTC_STRESS_2024_5M:2;SOL_10K_A:2;XRP_1H_A:2
dio_mcm_episode_0z1w5lo,nebenrolle,nebenrolle,29,30,1,15,16,1,0.253099,0.263812,0.010713,0.180657,0.183527,0.00287,0.114837,0.111572,-0.003265,0,BTC_1H_C:4;REAL_FOLLOW_BTC_6000:4;BTC_1H_A:3;REAL_FOLLOW_SOL_6000:3;BTC_SHIFT_2025_1H_4000_5000:2;BTC_SHIFT_2025_30M_10000_11000:2;DOGE_1H_B:2;PAXG_1H_A:2;BTC_FIELD_QUIET_03:1;BTC_FIELD_QUIET_05:1
dio_mcm_episode_1200bb0,nebenrolle,nebenrolle,18,19,1,15,16,1,0.216129,0.226007,0.009878,0.119559,0.121038,0.001479,0.101061,0.097051,-0.00401,1,REAL_FOLLOW_SOL_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_A:1;BTC_1H_B:1;BTC_1H_C:1;BTC_LONG_2024_5M_QUIET:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;DOGE_1H_A:1;FOLLOW_KAS_2024_5M_2000:1
dio_mcm_episode_0v3gsdo,nebenrolle,nebenrolle,17,18,1,12,13,1,0.199624,0.210742,0.011118,0.113873,0.116154,0.002281,0.076203,0.072978,-0.003225,1,REAL_TIME_2023_SOL_ALTSEQ_A:3;BTC_STRESS_2025_5M:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2024_BTC_5M:2;BTC_10K_A:1;BTC_FIELD_QUIET_02:1;FOLLOW_XRP_2024_5M_2000:1;PAXG_1H_A:1;QUIET_NEAR_PAXG2025_1H:1;REAL_FOLLOW_BTC_6000:1
dio_mcm_episode_0nn6ri9,nebenrolle,nebenrolle,21,22,1,9,10,1,0.19262,0.203224,0.010604,0.121148,0.124369,0.003221,0.094817,0.091176,-0.003641,1,BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;QUIET_NEAR_PAXG2025_1H:3;REAL_FOLLOW_SOL_6000:3;SOL_10K_A:3;DOGE_1H_B:2;PAXG_1H_A:2;BTC_1H_A:1;FOLLOW_KAS_2024_5M_2000:1;REAL_TIME_2024_SOL_ALTSEQ_A:1
dio_mcm_episode_0he6atw,nebenrolle,nebenrolle,25,26,1,9,10,1,0.188743,0.200068,0.011325,0.049793,0.052328,0.002535,0.096237,0.104552,0.008315,1,BTC_LONG_2024_5M_QUIET:7;DOGE_1H_B:4;PAXG_1846_A:4;DOGE_1H_A:3;REAL_FOLLOW_BTC_6000:3;FOLLOW_DOGE_2024_5M_2000:1;PAXG_1H_A:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_PAXG_6000:1;SOL_10K_A:1
dio_mcm_episode_0vnrnvb,nebenrolle,nebenrolle,16,17,1,11,12,1,0.184405,0.198315,0.01391,0.174223,0.177669,0.003446,0.063802,0.060962,-0.00284,1,BTC_STRESS_2025_5M:4;REAL_FOLLOW_XRP_6000:3;BTC_10K_A:1;BTC_1H_A:1;BTC_LONG_2025_5M_QUIET:1;DOGE_1H_B:1;FOLLOW_DOGE_2024_5M_2000:1;PAXG_1H_A:1;QUIET_NEAR_BTC_1869:1;QUIET_NEAR_PAXG2025_1H:1
dio_mcm_episode_0ww122h,nebenrolle,nebenrolle,11,12,1,10,11,1,0.158406,0.173426,0.01502,0.172972,0.186668,0.013696,0.060626,0.057182,-0.003444,1,BTC_10K_A:2;BTC_FIELD_QUIET_03:1;BTC_LONG_2024_5M_QUIET:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_SHIFT_2025_30M_10000_11000:1;BTC_STRESS_2024_5M:1;DOGE_1H_B:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_SOL_6000:1
dio_mcm_episode_0wgvtdq,nebenrolle,nebenrolle,17,18,1,8,9,1,0.154631,0.168419,0.013788,0.0406,0.044103,0.003503,0.125651,0.120021,-0.00563,1,REAL_FOLLOW_SOL_6000:5;QUIET_NEAR_PAXG2024_1H:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_BTC_5M:2;FOLLOW_XRP_2024_5M_2000:1;REAL_TIME_2024_XRP:1;SOL_10K_A:1
dio_mcm_episode_1xdh0bk,nebenrolle,nebenrolle,14,15,1,8,9,1,0.153755,0.166267,0.012512,0.099334,0.102786,0.003452,0.07106,0.084338,0.013278,1,QUIET_NEAR_PAXG2024_1H:3;BTC_STRESS_2024_5M:2;REAL_FOLLOW_SOL_6000:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;FOLLOW_XRP_2024_5M_2000:1;REAL_FOLLOW_DOGE_6000:1;REAL_TIME_2024_XRP:1;XRP_1H_A:1
dio_mcm_episode_0vig3jz,breite_grundrolle,breite_grundrolle,12113,12113,0,9,9,0,0.532391,0.532391,0.0,0.133917,0.133917,0.0,0.447986,0.447986,0.0,0,REAL_TIME_2024_PAXG:2836;REAL_TIME_2024_BTC_5M:2302;REAL_TIME_2024_SOL_ALTSEQ_A:1855;REAL_FOLLOW_PAXG_6000:1748;PAXG_1846_A:1722;QUIET_NEAR_PAXG2024_1H:723;REAL_FOLLOW_BTC_6000:713;BTC_LONG_2025_5M_QUIET:107;QUIET_NEAR_BTC_1869:107
dio_mcm_episode_1fdlu6e,breite_grundrolle,breite_grundrolle,2542,2542,0,11,11,0,0.430737,0.430737,0.0,0.106938,0.106938,0.0,0.367671,0.367671,0.0,0,REAL_TIME_2024_BTC_5M:1010;QUIET_NEAR_PAXG2024_1H:715;REAL_FOLLOW_BTC_6000:285;REAL_FOLLOW_XRP_6000:154;REAL_TIME_2024_SOL_ALTSEQ_A:145;REAL_FOLLOW_DOGE_6000:129;REAL_TIME_2024_PAXG:53;REAL_FOLLOW_PAXG_6000:19;PAXG_1846_A:14;BTC_LONG_2025_5M_QUIET:9
dio_mcm_episode_0ca57t8,uebergangsrolle,uebergangsrolle,411,411,0,12,12,0,0.425132,0.425132,0.0,0.431006,0.431006,0.0,0.1232,0.1232,0.0,0,REAL_FOLLOW_PAXG_6000:91;BTC_STRESS_2024_5M:66;BTC_1H_A:65;BTC_LONG_2024_5M_QUIET:50;QUIET_NEAR_BTC_FIELD_01:39;BTC_SHIFT_2025_30M_10000_11000:38;DOGE_1H_B:19;DOGE_1H_A:14;BTC_SHIFT_2025_1H_4000_5000:12;BTC_1H_C:10
dio_mcm_episode_0rbjarj,milieurolle,milieurolle,1923,1923,0,9,9,0,0.371439,0.371439,0.0,0.08369,0.08369,0.0,0.397513,0.397513,0.0,0,REAL_FOLLOW_PAXG_6000:616;QUIET_NEAR_BTC_1869:373;BTC_LONG_2025_5M_QUIET:370;BTC_FIELD_QUIET_04:294;REAL_TIME_2023_SOL_ALTSEQ_A:117;REAL_TIME_2024_BTC_5M:100;BTC_FIELD_QUIET_03:44;DOGE_1H_A:8;QUIET_NEAR_PAXG2025_1H:1
dio_mcm_episode_1i3ov0z,milieurolle,milieurolle,2073,2073,0,11,11,0,0.301192,0.301192,0.0,0.046958,0.046958,0.0,0.617828,0.617828,0.0,0,BTC_FIELD_QUIET_03:927;BTC_FIELD_QUIET_05:384;QUIET_NEAR_BTC_FIELD_01:350;BTC_LONG_2024_5M_QUIET:147;BTC_10K_A:99;DOGE_1H_B:91;PAXG_1H_A:54;BTC_FIELD_QUIET_02:14;BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3
dio_mcm_episode_1ole1yf,nebenrolle,nebenrolle,24,24,0,13,13,0,0.23629,0.23629,0.0,0.187769,0.187769,0.0,0.072218,0.072218,0.0,0,BTC_1H_A:3;BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;REAL_FOLLOW_XRP_6000:3;BTC_FIELD_QUIET_05:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_SOL_6000:2;BTC_FIELD_QUIET_03:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_30M_10000_11000:1
dio_mcm_episode_084fgkp,nebenrolle,nebenrolle,21,21,0,13,13,0,0.214631,0.214631,0.0,0.108572,0.108572,0.0,0.105423,0.105423,0.0,0,BTC_FIELD_QUIET_03:3;QUIET_NEAR_BTC_FIELD_01:3;BTC_FIELD_QUIET_05:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_PAXG_6000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_10K_A:1;BTC_1H_C:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_STRESS_2025_5M:1
dio_mcm_episode_1kwexso,nebenrolle,nebenrolle,25,25,0,10,10,0,0.210817,0.210817,0.0,0.141695,0.141695,0.0,0.131297,0.131297,0.0,0,BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;DOGE_1H_B:3;PAXG_1H_A:3;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_SOL_ALTSEQ_A:3;SOL_10K_A:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_A:1;BTC_SHIFT_2025_30M_10000_11000:1
dio_mcm_episode_14xx81a,milieurolle,milieurolle,1157,1157,0,6,6,0,0.206167,0.206167,0.0,0.044397,0.044397,0.0,0.548497,0.548497,0.0,0,REAL_FOLLOW_PAXG_6000:835;REAL_TIME_2024_SOL_ALTSEQ_A:155;PAXG_1846_A:100;BTC_LONG_2025_5M_QUIET:31;QUIET_NEAR_BTC_1869:31;REAL_TIME_2024_BTC_5M:5
dio_mcm_episode_0y53nyb,nebenrolle,nebenrolle,22,22,0,10,10,0,0.190145,0.190145,0.0,0.215423,0.215423,0.0,0.130251,0.130251,0.0,0,BTC_1H_B:3;BTC_FIELD_QUIET_04:3;BTC_FIELD_QUIET_05:3;BTC_STRESS_2024_5M:3;BTC_STRESS_2025_5M:3;BTC_LONG_2024_5M_QUIET:2;QUIET_NEAR_SOL_SIDEWAYS:2;BTC_1H_A:1;BTC_SHIFT_2025_30M_10000_11000:1;REAL_FOLLOW_PAXG_6000:1
dio_mcm_episode_0sscnvc,nebenrolle,nebenrolle,12,12,0,12,12,0,0.175907,0.175907,0.0,0.120169,0.120169,0.0,0.094683,0.094683,0.0,0,BTC_10K_A:1;BTC_1H_C:1;BTC_FIELD_QUIET_04:1;BTC_LONG_2025_5M_QUIET:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_SHIFT_2025_30M_10000_11000:1;DOGE_1H_A:1;QUIET_NEAR_BTC_1869:1;QUIET_NEAR_BTC_FIELD_01:1;QUIET_NEAR_PAXG2024_1H:1
dio_mcm_episode_0zm713b,nebenrolle,nebenrolle,16,16,0,10,10,0,0.175161,0.175161,0.0,0.106344,0.106344,0.0,0.064257,0.064257,0.0,0,REAL_FOLLOW_XRP_6000:4;REAL_FOLLOW_DOGE_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_B:1;BTC_FIELD_QUIET_03:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_STRESS_2024_5M:1;PAXG_1846_A:1;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_SOL_6000:1
dio_mcm_episode_1dxx3n8,nebenrolle,nebenrolle,19,19,0,8,8,0,0.168701,0.168701,0.0,0.045227,0.045227,0.0,0.102233,0.102233,0.0,0,REAL_TIME_2024_SOL_ALTSEQ_A:5;PAXG_1846_A:3;REAL_FOLLOW_PAXG_6000:3;REAL_TIME_2024_BTC_5M:3;REAL_FOLLOW_BTC_6000:2;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1;REAL_TIME_2024_PAXG:1
dio_mcm_episode_134512u,nebenrolle,nebenrolle,12,12,0,10,10,0,0.157747,0.157747,0.0,0.077764,0.077764,0.0,0.05759,0.05759,0.0,0,REAL_FOLLOW_DOGE_6000:3;BTC_10K_A:1;BTC_SHIFT_2025_30M_10000_11000:1;PAXG_1846_A:1;QUIET_NEAR_PAXG2024_1H:1;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_SOL_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_BTC_5M:1;SOL_10K_A:1
dio_mcm_episode_16lqhxj,nebenrolle,nebenrolle,10,10,0,10,10,0,0.1576,0.1576,0.0,0.080124,0.080124,0.0,0.042692,0.042692,0.0,0,BTC_10K_A:1;BTC_STRESS_2024_5M:1;DOGE_1H_A:1;PAXG_1H_A:1;QUIET_NEAR_PAXG2025_1H:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_PAXG_6000:1;REAL_FOLLOW_XRP_6000:1;SOL_10K_A:1;XRP_1H_A:1
dio_mcm_episode_0y7hhur,nebenrolle,nebenrolle,16,16,0,8,8,0,0.154289,0.154289,0.0,0.041799,0.041799,0.0,0.081654,0.081654,0.0,0,REAL_TIME_2024_SOL_ALTSEQ_A:5;REAL_TIME_2024_BTC_5M:4;PAXG_1846_A:2;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1;REAL_FOLLOW_PAXG_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_PAXG:1
