holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2024,dio_0y0j,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0y0jnhf:2,0.36951049999999996,0.275874,0.577982
xrp2024,dio_0y3w,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0y3wp2z:2,0.35477400000000003,0.2818105,0.588946
xrp2024,dio_0ygi,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0ygizyv:2,0.4086105,0.23201349999999998,0.6266425
xrp2024,dio_0z13,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0z13yp8:2,0.3879355,0.24404700000000001,0.617
xrp2024,dio_0z18,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0z182tq:2,0.437659,0.16946050000000001,0.659484
xrp2024,dio_0z35,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0z35bf4:2,0.448992,0.14775349999999998,0.676053
xrp2024,dio_0zac,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zac7pm:2,0.357701,0.280765,0.592805
xrp2024,dio_0zmn,getragen_offen,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zmn8nc:2,0.411488,0.285061,0.5992195
xrp2024,dio_0zmn,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zmn8nc:2,0.418954,0.2649095,0.610471
xrp2024,dio_0zmn,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zmn8nc:2,0.39639800000000003,0.2820925,0.5954085
xrp2024,dio_0zmn,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zmn8nc:2,0.3371285,0.327272,0.5544735000000001
xrp2024,dio_0zxj,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zxjco3:2,0.3918315,0.2371645,0.6211195
xrp2024,dio_0zzl,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0zzlken:2,0.3460595,0.30092050000000004,0.5763
xrp2024,dio_100i,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_100i1ye:2,0.3723375,0.2683475,0.5995105000000001
xrp2024,dio_105x,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_105xbrc:2,0.4432705,0.153932,0.6688335
xrp2024,dio_1093,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1093gsy:2,0.39183900000000005,0.23618899999999998,0.6111805
xrp2024,dio_109y,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_109yt1s:2,0.4011735,0.266595,0.609564
xrp2024,dio_109y,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_109yt1s:2,0.343449,0.30984849999999997,0.574792
xrp2024,dio_10cc,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_10ccazh:2,0.35126999999999997,0.288756,0.585847
xrp2024,dio_10tr,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_10truff:2,0.4554745,0.1374885,0.6818855
xrp2024,dio_111k,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_111kwxy:2,0.3849055,0.251027,0.6118365
xrp2024,dio_119k,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_119kkwj:2,0.3578455,0.2720755,0.5991675000000001
xrp2024,dio_11al,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_11al8jy:2,0.4306715,0.180636,0.656944
xrp2024,dio_11g7,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_11g7vq9:2,0.4339205,0.183627,0.6520895
xrp2024,dio_11q8,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_11q8z68:2,0.39783250000000003,0.236091,0.6167435
xrp2024,dio_11qu,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_11qurco:2,0.385826,0.25362450000000003,0.608279
xrp2024,dio_1232,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1232ee7:2,0.4461385,0.15179199999999998,0.6690395
xrp2024,dio_124s,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_124syqp:2,0.423184,0.2116795,0.6425595
xrp2024,dio_12ee,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_12eeebd:2,0.326719,0.318593,0.5682005
xrp2024,dio_12on,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_12on0pm:2,0.369464,0.293584,0.588347
xrp2024,dio_12sv,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_12svdap:2,0.4307715,0.174737,0.652488
