pair,total_count,source_profile,dominant_role_shift,dominant_role_shift_count,dominant_role_shift_share,role_shift_profile,movement_effect,avg_pressure_delta,avg_sharpness_delta,avg_focus_delta,avg_rekopplung_delta,avg_loudness_delta
dio_mcm_episode_1aavr7r->dio_mcm_episode_10sv6w0,8,SOL2024_10K:4;SOL2025_10K:2;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,7,0.875,zentrum_stabil->zentrum_stabil:7,bewegung_offen,-0.014745,-0.021272,-0.007266,0.005223,-0.046593
dio_mcm_episode_0mji3u6->dio_mcm_episode_0d40zcv,8,SOL2024_10K:3;BTC_5M_10K:3;SOL2025_10K:2,zentrum_stabil->offene_variante,5,0.625,zentrum_stabil->offene_variante:5,bewegung_offen,-0.003045,-0.113993,-0.042395,-0.025985,-0.118893
dio_mcm_episode_0tf9fq3->dio_mcm_episode_0aztxel,8,SOL2025_10K:4;SOL2024_10K:2;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,5,0.625,zentrum_stabil->zentrum_stabil:5;offene_variante->zentrum_stabil:1,bewegung_offen,-0.001401,0.150239,0.009158,-0.005275,0.012371
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0jbl5pq,8,BTC_5M_10K:5;SOL2025_10K:3,zentrum_stabil->zentrum_stabil,4,0.5,zentrum_stabil->zentrum_stabil:4,spannungsnah,0.001196,0.00348,0.031491,0.006807,0.039278
dio_mcm_episode_1joiyc3->dio_mcm_episode_1jx2k4i,7,SOL2024_10K:6;BTC_5M_10K:1,zentrum_stabil->zentrum_stabil,6,0.857143,zentrum_stabil->zentrum_stabil:6,rekoppelnd_entlastend,-0.024068,0.055417,-0.009083,0.019809,-0.044042
dio_mcm_episode_1q3us3f->dio_mcm_episode_14l8khu,7,SOL2024_10K:4;SOL2025_10K:3,zentrum_stabil->zentrum_stabil,7,1.0,zentrum_stabil->zentrum_stabil:7,rekoppelnd_entlastend,-0.019334,0.02748,-0.016747,0.011127,-0.070353
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1rxdw4p,7,SOL2025_10K:3;SOL2024_10K:2;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,5,0.714286,zentrum_stabil->zentrum_stabil:5;offene_variante->zentrum_stabil:1,bewegung_offen,-0.004476,0.09932,0.002178,0.003012,0.016146
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0l5wut9,7,BTC_5M_10K:3;SOL2024_10K:2;SOL2025_10K:2,zentrum_stabil->spannungsrand_kippnaehe,7,1.0,zentrum_stabil->spannungsrand_kippnaehe:7,oeffnend_belastend,0.216589,-0.138207,0.090309,-0.15339,0.547877
dio_mcm_episode_0i7gfxw->dio_mcm_episode_0aztxel,7,BTC_5M_10K:3;SOL2024_10K:2;SOL2025_10K:2,zentrum_stabil->zentrum_stabil,3,0.428571,zentrum_stabil->zentrum_stabil:3;zentrum_stabil->offene_variante:1,rekoppelnd_entlastend,-0.008404,0.000549,0.029945,0.013788,0.035198
dio_mcm_episode_05ce83b->dio_mcm_episode_0db07p4,7,SOL2025_10K:7,zentrum_stabil->zentrum_stabil,5,0.714286,zentrum_stabil->zentrum_stabil:5,rekoppelnd_entlastend,-0.032582,0.037612,-0.005044,0.02723,-0.066692
dio_mcm_episode_14l8khu->dio_mcm_episode_14coypf,7,SOL2025_10K:5;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,3,0.428571,zentrum_stabil->zentrum_stabil:3;zentrum_stabil->offene_variante:1,oeffnend_belastend,0.041976,-0.209793,0.020438,-0.03234,0.08774
dio_mcm_episode_0w4x7xs->dio_mcm_episode_1rtuf65,6,SOL2024_10K:6,zentrum_stabil->zentrum_stabil,6,1.0,zentrum_stabil->zentrum_stabil:6,rekoppelnd_entlastend,-0.014829,0.027849,-0.00353,0.010863,-0.031902
dio_mcm_episode_1rtuf65->dio_mcm_episode_0w4x7xs,6,SOL2024_10K:6,zentrum_stabil->zentrum_stabil,4,0.666667,zentrum_stabil->zentrum_stabil:4,oeffnend_belastend,0.039739,-0.124329,0.032799,-0.031327,0.091433
dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hs3jsa,6,SOL2024_10K:4;BTC_5M_10K:2,offene_variante->zentrum_stabil,2,0.333333,offene_variante->zentrum_stabil:2;zentrum_stabil->zentrum_stabil:2,rekoppelnd_entlastend,-0.025333,0.093918,-0.026253,0.019814,-0.066721
dio_mcm_episode_0t50dj7->dio_mcm_episode_0sv0ru8,6,SOL2024_10K:4;SOL2025_10K:2,zentrum_stabil->zentrum_stabil,6,1.0,zentrum_stabil->zentrum_stabil:6,rekoppelnd_entlastend,-0.033217,0.007529,-0.04517,0.01486,-0.091374
dio_mcm_episode_0f3xyli->dio_mcm_episode_0t50dj7,6,SOL2024_10K:4;SOL2025_10K:2,zentrum_stabil->zentrum_stabil,5,0.833333,zentrum_stabil->zentrum_stabil:5,rekoppelnd_entlastend,-0.037856,0.046741,-0.030912,0.022777,-0.125242
