world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
ALTSEQ_2023,dio_033x,nur_gereift,1,0,1,0.000000,1.000000,0.603936,0.645852,0.252595,0.166667,1.000000
ALTSEQ_2023,dio_04si,offen_und_gereift,2,1,1,0.500000,0.500000,0.636488,0.676581,0.208366,0.166667,0.500000
ALTSEQ_2023,dio_1b5i,nur_gereift,1,0,1,0.000000,1.000000,0.641051,0.688213,0.205753,0.083333,1.000000
ALTSEQ_2023,dio_1hwl,nur_offen,1,1,0,1.000000,0.000000,0.609033,0.653836,0.250432,0.083333,0.000000
ALTSEQ_2023,dio_08nu,nur_offen,1,1,0,1.000000,0.000000,0.620356,0.660264,0.217425,0.000000,0.000000
ALTSEQ_2023,dio_1hyv,nur_gereift,1,0,1,0.000000,1.000000,0.605140,0.643616,0.243470,0.000000,1.000000
ALTSEQ_2023,dio_1rac,nur_offen,2,2,0,1.000000,0.000000,0.620194,0.659407,0.235525,0.041667,0.000000
ALTSEQ_2023,dio_1kw8,nur_gereift,1,0,1,0.000000,1.000000,0.598496,0.637258,0.259240,0.000000,1.000000
ALTSEQ_2023,dio_0fc4,nur_gereift,3,0,3,0.000000,1.000000,0.653257,0.698361,0.193131,1.000000,0.041667
ALTSEQ_2023,dio_0d46,offen_und_gereift,6,1,5,0.166667,0.833333,0.690553,0.736838,0.154250,0.847222,0.083333
ALTSEQ_2023,dio_06ik,nur_gereift,3,0,3,0.000000,1.000000,0.668972,0.715380,0.172726,1.000000,0.083333
ALTSEQ_2023,dio_0867,nur_gereift,2,0,2,0.000000,1.000000,0.672076,0.719468,0.169995,1.000000,0.000000
ALTSEQ_2023,dio_0gkv,nur_gereift,1,0,1,0.000000,1.000000,0.687728,0.740614,0.136530,1.000000,0.000000
ALTSEQ_2023,dio_0ag7,nur_gereift,1,0,1,0.000000,1.000000,0.688587,0.742718,0.139173,1.000000,0.000000
ALTSEQ_2023,dio_08z0,nur_gereift,1,0,1,0.000000,1.000000,0.651602,0.701611,0.192446,1.000000,0.000000
ALTSEQ_2023,dio_0une,nur_gereift,8,0,8,0.000000,1.000000,0.715444,0.762604,0.122590,1.000000,0.125000
ALTSEQ_2023,dio_0dwq,nur_gereift,1,0,1,0.000000,1.000000,0.693844,0.748431,0.133444,1.000000,0.000000
ALTSEQ_2023,dio_104d,nur_gereift,1,0,1,0.000000,1.000000,0.646508,0.690191,0.235105,0.000000,1.000000
ALTSEQ_2023,dio_18po,nur_gereift,3,0,3,0.000000,1.000000,0.658924,0.704179,0.185309,0.694444,0.375000
