token,class_864,class_868,relation,movement_864,movement_868,zone_864,zone_868,world_delta_864,world_delta_868,rekopplung_delta_864,rekopplung_delta_868,strain_delta_864,strain_delta_868,loudness_delta_864,loudness_delta_868,visual_blur_delta_864,visual_blur_delta_868
dio_mcm_episode_0tph7s0,junge_oberflaeche,-,verschwunden,verjuengung_oberflaeche,-,junge_spur,-,-1,0,0.003208,0.0,0.002113,0.0,-0.000358,0.0,0.021509,0.0
dio_mcm_episode_149ka4k,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,1.6e-05,0.0,-3.5e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_14k61ms,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,2.1e-05,0.0,-4.6e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_14pl76i,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,2.8e-05,0.0,-5.9e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_14zksvh,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,2e-05,0.0,-4.3e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1dfq6bx,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,1.6e-05,0.0,-3.3e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1iqf51c,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,0.053985,0.0,-0.053107,0.0,-0.18931,0.0,-0.111276,0.0
dio_mcm_episode_1mesbjy,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,-0.04739,0.0,0.045714,0.0,0.035571,0.0,0.112914,0.0
dio_mcm_episode_01s42m6,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,0.010608,0.0,-0.012116,0.0,-0.047245,0.0,-0.011812,0.0
dio_mcm_episode_03zcjn0,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,0.008867,0.0,0.035758,0.0,-0.016226,0.0,0.08268,0.0
dio_mcm_episode_06ccuqv,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,offene_bedeutungszone,-,1,0,0.017068,0.0,-0.027051,0.0,-0.132627,0.0,0.103588,0.0
dio_mcm_episode_079228h,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,-0.017075,0.0,0.00081,0.0,0.005262,0.0,0.107058,0.0
dio_mcm_episode_0mb95f2,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,0.005458,0.0,0.000984,0.0,-0.079958,0.0,0.033953,0.0
dio_mcm_episode_0ro62tp,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,-0.01668,0.0,0.04408,0.0,0.135443,0.0,0.225353,0.0
dio_mcm_episode_0u69u6w,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,offene_bedeutungszone,-,0,0,0.030673,0.0,-0.036534,0.0,-0.087554,0.0,-0.010069,0.0
dio_mcm_episode_14l8khu,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,-2,0,-0.031942,0.0,0.024983,0.0,0.047978,0.0,0.113368,0.0
dio_mcm_episode_16t4uv3,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,-0.002872,0.0,0.028447,0.0,0.067934,0.0,0.104184,0.0
dio_mcm_episode_17wwyn1,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,-0.053777,0.0,0.046325,0.0,0.249093,0.0,0.237024,0.0
dio_mcm_episode_195dhqf,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,1,0,-0.004979,0.0,0.001284,0.0,0.005342,0.0,0.095082,0.0
dio_mcm_episode_1jansx7,offener_driftpfad,-,verschwunden,oeffnung_oder_drift,-,driftzone,-,0,0,0.028679,0.0,-0.007928,0.0,0.005789,0.0,-0.2724,0.0
dio_mcm_episode_010cbbb,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_08lp0ua,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,0.0,0.0,-4e-05,0.0,3.2e-05,0.0,4e-05,0.0
dio_mcm_episode_090tkc9,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.5e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_09at618,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.6e-05,0.0,-3.6e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0bvwbpb,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4.1e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0cpmq8e,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0d9qets,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.8e-05,0.0,-3.8e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0i5k3i8,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0ji62h6,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.1e-05,0.0,-2.8e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0k1pid9,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,1,0,-0.014362,0.0,0.00317,0.0,0.030522,0.0,0.019992,0.0
dio_mcm_episode_0qvodoj,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,2.4e-05,0.0,-4.3e-05,0.0,3e-06,0.0,-6e-06,0.0
dio_mcm_episode_0vff3w6,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.1e-05,0.0,-2.9e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0w96mqy,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,1,0,-0.000792,0.0,-0.000295,0.0,0.003402,0.0,0.00191,0.0
dio_mcm_episode_0w9dwz3,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.7e-05,0.0,-3.7e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0x6cqpn,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4.3e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0zpp5uy,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,2.1e-05,0.0,-4.6e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_12m8htq,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4.1e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_19w1n2u,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,-1,0,0.011077,0.0,-0.011126,0.0,-0.044598,0.0,-0.009841,0.0
dio_mcm_episode_1a9sbfi,rekoppelnder_pfad,-,verschwunden,reifung_oder_verdichtung,-,rekopplungszone,-,0,0,0.026745,0.0,0.01573,0.0,-0.082956,0.0,0.120803,0.0
dio_mcm_episode_1bnkysm,rekoppelnder_pfad,-,verschwunden,reifung_oder_verdichtung,-,rekopplungszone,-,2,0,0.042696,0.0,-0.049313,0.0,-0.28576,0.0,-0.096581,0.0
dio_mcm_episode_1chjrvj,rekoppelnder_pfad,-,verschwunden,reifung_oder_verdichtung,-,rekopplungszone,-,2,0,-0.021694,0.0,-0.03124,0.0,-0.01017,0.0,-0.087259,0.0
dio_mcm_episode_1dewalh,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.5e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1engxbn,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,-2e-06,0.0,-2.5e-05,0.0,9.1e-05,0.0,6e-06,0.0
dio_mcm_episode_1gwyfwd,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4.1e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1h8m18g,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.5e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1qqnvqf,rekoppelnder_pfad,-,verschwunden,reifung_oder_verdichtung,-,rekopplungszone,-,0,0,0.054498,0.0,-0.049113,0.0,-0.23006,0.0,-0.042112,0.0
dio_mcm_episode_1v8o9kh,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1wj5tkj,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,2.1e-05,0.0,-4.5e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1ydep5d,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.7e-05,0.0,-3.6e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1ytjvg8,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.5e-05,0.0,-3.7e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1yy9dcm,rekoppelnder_pfad,-,verschwunden,stabil,-,rekopplungszone,-,0,0,1.9e-05,0.0,-4.4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0ze6erg,stabile_insel,-,verschwunden,stabil,-,stabile_bedeutungsinsel,-,0,0,1.7e-05,0.0,-3.8e-05,0.0,0.0,0.0,0.0,0.0
