asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0jkk,52,3,field_stabil,13,0.0065065065065065065,0.7166423076923076,0.19139776923076923,0.39503507692307693,0.7033669230769231,21,0.010510510510510511,0.7193434285714285,0.20450480952380953,0.8121257142857142,0.908843142857143,18,0.009009009009009009,0.7231792222222223,0.20758716666666666,0.8754762777777778,0.9395413333333332,0.0025025025025025025,0.4804412008547009,0.23617441025641017,0.016189397435897424,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1492,46,3,field_stabil,15,0.0075075075075075074,0.7733114000000001,0.12824673333333333,0.4254918,0.7285350666666666,18,0.009009009009009009,0.7764621666666667,0.1440125,0.8166736111111111,0.9132241666666666,13,0.0065065065065065065,0.7782363076923077,0.14261476923076924,0.8751658461538461,0.9424361538461539,-0.001001001001001001,0.4496740461538461,0.2139010871794873,0.014368035897435905,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1pij,42,3,field_stabil,16,0.008008008008008008,0.722512625,0.1928626875,0.45809425,0.740361125,6,0.003003003003003003,0.7274121666666667,0.20347250000000003,0.7942375,0.9058586666666666,20,0.01001001001001001,0.73735945,0.20328629999999998,0.8620432499999999,0.9364449499999999,0.002002002002002002,0.40394899999999995,0.196083825,0.010423612499999985,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0v65,41,3,field_stabil,9,0.0045045045045045045,0.7510305555555555,0.13864666666666667,0.30305822222222223,0.6482316666666667,16,0.008008008008008008,0.759181,0.1468945625,0.72857575,0.8811560625,16,0.008008008008008008,0.7637859375,0.1539874375,0.8742700625,0.93796325,0.0035035035035035035,0.5712118402777777,0.2897315833333334,0.015340770833333323,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0ein,40,3,field_stabil,8,0.004004004004004004,0.751146,0.1367325,0.258435125,0.62621275,16,0.008008008008008008,0.75930175,0.1471888125,0.711629,0.8775383125,16,0.008008008008008008,0.7613441875,0.152393375,0.8686010625,0.93405975,0.004004004004004004,0.6101659375,0.307847,0.01566087499999999,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0fe7,39,3,field_stabil,17,0.00850850850850851,0.7482584117647059,0.15238017647058824,0.4753745882352941,0.7503362352941176,8,0.004004004004004004,0.758579,0.160367,0.822067625,0.913203875,14,0.007007007007007007,0.7680597142857143,0.16027492857142858,0.8660940714285715,0.9374439285714286,-0.0015015015015015024,0.39071948319327743,0.18710769327731092,0.007894752100840341,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1o4z,39,3,field_stabil,10,0.005005005005005005,0.7441899000000001,0.156916,0.3288388,0.6662963,21,0.010510510510510511,0.750453761904762,0.1666669523809524,0.7775577142857143,0.8981190952380952,8,0.004004004004004004,0.7617265,0.168552875,0.871485375,0.937622625,-0.001001001001001001,0.542646575,0.2713263250000001,0.011636874999999991,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0nlj,38,3,field_stabil,12,0.006006006006006006,0.7710266666666667,0.12400974999999999,0.3725919166666667,0.69728,18,0.009009009009009009,0.780626,0.13765255555555556,0.7856362222222222,0.9030432222222221,8,0.004004004004004004,0.779769875,0.146657625,0.881733,0.941355375,-0.002002002002002002,0.5091410833333333,0.24407537499999998,0.022647875000000026,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_04uf,38,3,field_stabil,10,0.005005005005005005,0.7370027,0.17191640000000002,0.3401433,0.666227,14,0.007007007007007007,0.7314175714285714,0.18889050000000002,0.7404401428571428,0.8815758571428571,14,0.007007007007007007,0.7427890714285714,0.18289635714285715,0.8694442142857143,0.9302911428571428,0.002002002002002002,0.5293009142857144,0.26406414285714275,0.010979957142857127,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_null_random_6000,,,,,,,,,,,null_random,0,detail,,,,,,,,,,,,2025,dio_104t,313,3,field_stabil,108,0.05405405405405406,0.7529503518518518,0.1610835648148148,0.7420325648148148,0.8954794537037037,113,0.05655655655655656,0.7597114601769912,0.1633058849557522,0.8381118761061948,0.944480407079646,92,0.04604604604604605,0.7615497282608695,0.16359866304347825,0.8497636413043479,0.9495062717391305,-0.008008008008008008,0.10773107648953306,0.05402681803542675,0.0025150982286634427,anschlussfaehige_oberflaeche
