name,group,run,window,tick_start,tick_end,local_role,hearing_load,visual_load,field_pressure,relief,sensory_conflict,kipp_pressure,fit,rekopplung,field_strain,field_carry,afterimage
PREVIEW_REAL2_2023,preview,1,13,481,560,lokal_rekoppelnd,0.18905975525000002,0.2328683575,0.19130603225000004,0.71170620925,0.045888171,0.17747502603,0.980341975875,0.6340195125,0.1864361625,0.3675879,0.00028965
PREVIEW_REAL2_2023,preview,1,14,521,600,lokal_rekoppelnd,0.1635957845,0.2380891935,0.19174029375,0.71182787625,0.08030672087499997,0.17827997581,0.99089780475,0.6344679875,0.1863431125,0.3647202375,0.0003152375
PREVIEW_REAL2_2023,preview,1,15,561,640,lokal_offen,0.19909769375,0.28619300975,0.20404415000000004,0.70226320975,0.09680331412500001,0.2054141931,0.9613987982500001,0.6235629375,0.20564025,0.34909215,0.0001051375
PREVIEW_REAL2_2023,preview,1,16,601,680,lokale_multisensorische_kippnaehe,0.20601398450000002,0.3050772385,0.20779214950000002,0.69781659675,0.10754404712499999,0.21467411488000002,0.952246538,0.6190034125,0.20810415,0.3400122125,2.5450000000000002e-05
PREVIEW_REAL2_2023,preview,1,17,641,720,lokal_offen,0.196008635,0.26994658875,0.20199624849999998,0.6987653487500001,0.08068319312500001,0.19745721405999997,0.969018636625,0.6227156375,0.194408725,0.341254825,0.00016871250000000001
PREVIEW_REAL2_2023,preview,1,18,681,760,lokal_offen,0.1970055225,0.26966063100000004,0.20186612975,0.69879074925,0.07925233725000003,0.19735205751,0.968533053,0.6231059625,0.1943702375,0.3413716,0.0001982
PREVIEW_REAL2_2023,preview,1,19,721,800,lokal_offen,0.19125516625000002,0.249515474,0.19692297800000003,0.70076963525,0.06065894087499996,0.18638265628,0.976537657875,0.6268989625,0.1826961,0.341689725,0.0005995
PREVIEW_REAL2_2023,preview,1,20,761,840,lokal_rekoppelnd,0.15971210049999998,0.20658014025,0.18462073225,0.71070758125,0.04761410412500001,0.16199185804999996,0.998525388125,0.6387178125,0.1630662125,0.355647525,0.0024065125
PREVIEW_REAL2_2023,preview,1,21,801,880,lokal_rekoppelnd,0.1641879895,0.19813491449999998,0.18479328350000002,0.712109269,0.03695154374999998,0.15939532602,0.9963681685,0.63926315,0.166563925,0.360076475,0.002124375
PREVIEW_REAL2_2023,preview,1,22,841,920,lokal_rekoppelnd,0.17272099975,0.20334857975,0.186252419,0.70891874925,0.031166435625000013,0.16229419962,0.99821762925,0.6365940625000001,0.1654621,0.3541106,0.0020733624999999998
