world,mcm_preview,symbol_family,count,share_of_open,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,longest_streak,streak_count
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0ogt,1,0.007937,0.613207,0.415177,0.258420,0.765607,0.345689,0.111320,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1v5s,1,0.007937,0.609392,0.427733,0.269144,0.755439,0.263210,0.269404,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0xk0,1,0.007937,0.600052,0.358926,0.267612,0.790600,0.054518,0.258904,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0f35,1,0.007937,0.612800,0.356871,0.227031,0.798887,0.180878,0.173522,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1wzb,1,0.007937,0.606094,0.366866,0.249780,0.783276,0.278187,0.094686,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0wfc,1,0.007937,0.626842,0.390959,0.232212,0.835838,0.119318,0.146162,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0jhn,1,0.007937,0.599404,0.338260,0.266152,0.794936,0.276432,0.070815,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0eve,1,0.007937,0.633853,0.409707,0.220426,0.820813,0.111966,0.251834,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_01oo,1,0.007937,0.622982,0.408124,0.249945,0.805368,0.088317,0.317566,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0drn,1,0.007937,0.639447,0.441024,0.239191,0.856550,0.019314,0.253455,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1ykv,1,0.007937,0.609778,0.374191,0.248624,0.793115,0.145923,0.206436,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1mmr,1,0.007937,0.626077,0.406772,0.230724,0.797902,0.225677,0.153778,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1d9l,1,0.007937,0.612846,0.347598,0.242277,0.829187,0.082302,0.234038,1,1
NEG_STRESS_2023,dio_mcm_episode_177kjvc,dio_0i8w,1,0.007937,0.607661,0.353929,0.275939,0.835357,0.111539,0.129859,1,1
NEG_STRESS_2023,dio_mcm_episode_03xfov3,dio_15uv,1,0.007937,0.615868,0.379657,0.222906,0.786271,0.225471,0.182260,1,1
NEG_STRESS_2023,dio_mcm_episode_183drjy,dio_0w74,1,0.007937,0.630870,0.418970,0.232881,0.819208,0.077835,0.315980,1,1
NEG_STRESS_2023,dio_mcm_episode_183drjy,dio_10ob,1,0.007937,0.622110,0.360181,0.223444,0.843039,0.194367,0.030034,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0hbb,1,0.007937,0.620135,0.403871,0.239898,0.793443,0.289369,0.081216,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_01tr,1,0.007937,0.612808,0.374728,0.236945,0.794786,0.242427,0.157475,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1104,1,0.007937,0.623639,0.359949,0.221421,0.847390,0.190508,0.016241,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1ytj,1,0.007937,0.594185,0.330046,0.262046,0.769747,0.181291,0.257335,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1bgr,1,0.007937,0.609596,0.351156,0.234726,0.802826,0.070759,0.285242,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1mv6,1,0.007937,0.621026,0.357866,0.223325,0.839989,0.192529,0.055854,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_18yf,1,0.007937,0.628856,0.423610,0.226170,0.799268,0.233807,0.161567,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0m1z,1,0.007937,0.630039,0.400738,0.228206,0.846177,0.091239,0.175864,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_10v1,1,0.007937,0.632952,0.402513,0.242713,0.880398,0.035020,0.119701,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0fgt,1,0.007937,0.631332,0.451768,0.238247,0.810867,0.251254,0.054716,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_14x3,1,0.007937,0.619589,0.438685,0.245911,0.768960,0.210904,0.198959,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_14fv,1,0.007937,0.603480,0.395513,0.245985,0.734348,0.282697,0.245441,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1aln,1,0.007937,0.601296,0.406415,0.256243,0.725441,0.319534,0.213437,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_045n,1,0.007937,0.620593,0.442578,0.260333,0.789199,0.142010,0.241968,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0y19,1,0.007937,0.624988,0.366911,0.222109,0.881249,0.025768,0.065937,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1fng,1,0.007937,0.615857,0.389100,0.231056,0.804194,0.221729,0.079416,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0zko,1,0.007937,0.618599,0.370761,0.220818,0.820040,0.109836,0.192538,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0lgu,1,0.007937,0.625366,0.366978,0.222424,0.857001,0.009809,0.144410,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1615,1,0.007937,0.645974,0.370492,0.239787,0.826604,0.281855,0.028222,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1xhx,1,0.007937,0.609255,0.345600,0.246501,0.817771,0.227257,0.078514,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1955,1,0.007937,0.611535,0.419238,0.260194,0.755004,0.222681,0.257341,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_09lk,1,0.007937,0.620138,0.379035,0.233108,0.828110,0.045852,0.192284,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1di6,1,0.007937,0.604722,0.344011,0.254799,0.805994,0.263524,0.052317,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0gk8,1,0.007937,0.647663,0.434216,0.226324,0.900593,0.031797,0.068755,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0r7a,1,0.007937,0.622755,0.427801,0.235166,0.778030,0.266842,0.156325,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1htc,1,0.007937,0.624900,0.374666,0.221372,0.842308,0.041348,0.183829,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_153w,1,0.007937,0.609661,0.346304,0.243181,0.817209,0.180745,0.161244,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0wgo,1,0.007937,0.613786,0.343973,0.220053,0.809374,0.110433,0.217179,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0fd9,1,0.007937,0.627347,0.384320,0.229613,0.858751,0.066657,0.153887,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_19aq,1,0.007937,0.632555,0.434045,0.221898,0.804730,0.249698,0.096858,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1bjl,1,0.007937,0.610095,0.359432,0.268408,0.838886,0.102754,0.130614,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_09to,1,0.007937,0.630020,0.408595,0.254046,0.884226,0.056653,0.100263,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1pbn,1,0.007937,0.601168,0.339982,0.253514,0.794337,0.114386,0.237801,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0xq6,1,0.007937,0.611490,0.358046,0.242130,0.823329,0.100003,0.130693,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0sbd,1,0.007937,0.622303,0.364899,0.220323,0.832638,0.124063,0.169892,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_155a,1,0.007937,0.615833,0.377512,0.239625,0.810697,0.274311,0.022616,1,1
NEG_STRESS_2024,dio_mcm_episode_0u1i1ff,dio_1o5h,1,0.005747,0.620003,0.377346,0.233745,0.813835,0.249222,0.051443,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0npn,1,0.005747,0.592935,0.349344,0.275873,0.752258,0.284356,0.194248,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1emf,1,0.005747,0.627461,0.411420,0.228264,0.800371,0.179884,0.225319,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1ijy,1,0.005747,0.628326,0.413715,0.223248,0.799629,0.194689,0.205290,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1798,1,0.005747,0.611862,0.365580,0.246065,0.804569,0.202880,0.127949,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1qol,1,0.005747,0.614296,0.400417,0.274737,0.804170,0.084415,0.310892,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0ind,1,0.005747,0.625790,0.423837,0.237174,0.798036,0.336497,0.022635,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0lav,1,0.005747,0.631296,0.408685,0.239955,0.860459,0.113365,0.104699,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0pg7,1,0.005747,0.620514,0.386841,0.229755,0.810917,0.256962,0.080296,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_19ce,1,0.005747,0.624581,0.385182,0.229603,0.836188,0.107564,0.175986,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1rx5,1,0.005747,0.626570,0.375655,0.233011,0.862554,0.135071,0.006564,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_17ir,1,0.005747,0.605591,0.369816,0.241400,0.761222,0.237805,0.228772,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0esw,1,0.005747,0.601234,0.362325,0.263663,0.780403,0.317748,0.086871,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0xhq,1,0.005747,0.615499,0.345481,0.223997,0.819809,0.107412,0.192786,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_13g4,1,0.005747,0.622594,0.361736,0.227855,0.853636,0.082323,0.086690,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_08km,1,0.005747,0.599143,0.377259,0.272188,0.755579,0.361823,0.087774,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1aso,1,0.005747,0.616930,0.360980,0.231912,0.826163,0.172062,0.126387,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_1700,1,0.005747,0.619353,0.354420,0.215945,0.825039,0.062060,0.228807,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_027i,1,0.005747,0.607773,0.348092,0.248041,0.803769,0.166080,0.157643,1,1
NEG_STRESS_2024,dio_mcm_episode_0y50lf3,dio_0z5o,1,0.005747,0.618711,0.355660,0.214952,0.817306,0.171558,0.152193,1,1
NEG_STRESS_2024,dio_mcm_episode_1crbrpy,dio_0yxj,1,0.005747,0.604811,0.337442,0.238763,0.791142,0.177567,0.208368,1,1
NEG_STRESS_2024,dio_mcm_episode_0magw2b,dio_19j3,1,0.005747,0.604657,0.338114,0.236379,0.787748,0.143818,0.257300,1,1
NEG_STRESS_2024,dio_mcm_episode_1so7ez5,dio_1950,1,0.005747,0.605693,0.360386,0.239159,0.775800,0.175427,0.326524,1,1
NEG_STRESS_2024,dio_mcm_episode_1so7ez5,dio_1xa9,1,0.005747,0.626446,0.425511,0.229369,0.791635,0.248316,0.192902,1,1
NEG_STRESS_2024,dio_mcm_episode_1so7ez5,dio_00fp,1,0.005747,0.626707,0.434462,0.234965,0.793918,0.303401,0.074407,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0p8t,1,0.005747,0.616187,0.376203,0.252631,0.837995,0.090577,0.147779,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_05yy,1,0.005747,0.631121,0.425777,0.230347,0.814108,0.196441,0.173696,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_13hq,1,0.005747,0.610304,0.348349,0.232436,0.801986,0.168134,0.192925,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_1mb2,1,0.005747,0.622326,0.362954,0.224880,0.842324,0.147125,0.090860,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_1qb5,1,0.005747,0.625627,0.375795,0.227093,0.855157,0.023257,0.134914,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0chh,1,0.005747,0.617506,0.347823,0.240219,0.855592,0.038995,0.106037,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_073i,1,0.005747,0.608889,0.344294,0.244734,0.822291,0.190263,0.072391,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0hy4,1,0.005747,0.618319,0.378622,0.224123,0.816994,0.238909,0.021471,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0qae,1,0.005747,0.603275,0.374430,0.273104,0.809155,0.206216,0.061872,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_1llr,1,0.005747,0.613769,0.406131,0.243679,0.783485,0.117921,0.282544,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_1738,1,0.005747,0.616629,0.434685,0.239854,0.749433,0.291796,0.184180,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_1mo4,1,0.005747,0.629610,0.439373,0.223880,0.792510,0.235223,0.127830,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_0qp6,1,0.005747,0.605332,0.374852,0.267904,0.800004,0.129539,0.152882,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_0upv,1,0.005747,0.625802,0.397692,0.220859,0.832696,0.101143,0.170734,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_1vy1,1,0.005747,0.600297,0.352002,0.255026,0.777153,0.273090,0.108181,1,1
NEG_STRESS_2024,dio_mcm_episode_1ur03vd,dio_04rn,1,0.005747,0.626085,0.421322,0.241840,0.804628,0.235753,0.129492,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_1g19,1,0.005747,0.621901,0.363314,0.223640,0.839454,0.103489,0.142465,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_1axh,1,0.005747,0.615808,0.358538,0.228634,0.818118,0.194819,0.091178,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_19p2,1,0.005747,0.638547,0.418882,0.228245,0.869943,0.103481,0.097207,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0me1,1,0.005747,0.606293,0.415980,0.266170,0.743046,0.342919,0.224856,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0o55,1,0.005747,0.650586,0.451989,0.237144,0.899551,0.003478,0.126038,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_110z,1,0.005747,0.621213,0.425849,0.242115,0.779830,0.297856,0.121090,1,1
NEG_STRESS_2024,dio_mcm_episode_02xikfk,dio_0tdh,1,0.005747,0.639097,0.430412,0.223444,0.847500,0.167755,0.029702,1,1
